Ra(J2000) deg	Dec(J2000) deg	J	eJ	Ks	eKs
296.1789	-14.8229	17.52	0.04	16.19	0.05
296.2155	-14.8347	17.45	0.03	16.20	0.06
296.2734	-14.8086	17.60	0.03	16.27	0.05
296.2831	-14.8050	17.46	0.03	16.22	0.05
296.2543	-14.8176	18.17	0.07	16.70	0.05
296.1916	-14.8930	17.76	0.06	16.51	0.10
296.2552	-14.8258	16.82	0.03	15.52	0.02
296.2992	-14.8365	17.87	0.88	14.98	0.07
296.1917	-14.8297	18.32	0.31	15.67	0.10
296.2842	-14.8119	17.33	0.16	15.04	0.07
296.2346	-14.7733	18.00	0.37	15.48	0.27
296.2015	-14.8128	19.18	0.60	15.91	0.20
296.1832	-14.7631	18.39	0.32	15.82	0.14
296.2722	-14.7614	18.09	0.24	15.62	0.07
296.2278	-14.7611	18.35	0.34	16.18	0.09
296.2777	-14.8229	18.46	0.18	16.13	0.20
296.2491	-14.8162	17.49	0.09	15.98	0.27
296.2535	-14.7694	18.38	0.35	15.54	0.27
296.2473	-14.7642	18.94	1.05	16.80	0.63
296.2425	-14.8211	19.99	0.74	16.77	0.21
296.1799	-14.7577	19.23	0.39	15.98	0.26
296.2705	-14.7348	19.39	0.38	16.08	0.21
296.1838	-14.6825	19.57	1.40	16.06	0.67
296.2677	-14.6806	19.60	1.62	16.30	0.53
296.1776	-14.6424	18.63	0.79	16.42	0.45
296.2651	-14.9616	18.07	0.40	16.45	0.20
296.2111	-14.9107	19.46	0.36	16.25	0.13
296.3018	-14.9036	19.75	0.26	15.96	0.44
296.1801	-14.7509	17.02	0.16	15.81	0.12
296.2268	-14.7507	17.13	0.34	15.11	0.28
296.2335	-14.7500	17.71	0.18	16.52	0.18
296.2462	-14.8666	17.98	0.08	15.79	0.08
296.2611	-14.7376	18.29	0.15	15.38	0.19
296.2731	-14.7515	17.31	0.16	15.96	0.20
296.1840	-14.7802	18.23	0.00	17.12	0.00
296.2523	-14.7848	17.49	0.00	16.08	0.00
296.2042	-14.6349	16.58	0.00	15.46	0.00
296.2236	-14.7747	16.44	0.00	15.13	0.00
296.2182	-14.8804	16.30	0.00	15.09	0.00
296.2132	-14.6810	16.35	0.00	15.07	0.00
296.2043	-14.7427	15.25	0.00	13.92	0.00
296.2509	-14.7679	15.50	0.00	14.19	0.00
296.1880	-14.8723	15.88	0.00	14.68	0.00
296.2670	-14.7631	15.46	0.00	14.18	0.00
296.2129	-14.7322	13.72	0.00	12.57	0.00
296.2364	-14.8305	17.70	0.00	16.04	0.00
296.2103	-14.7597	17.89	0.00	16.29	0.00
296.1805	-14.8043	18.20	0.00	15.94	0.00
296.1744	-14.8389	18.58	0.00	16.11	0.00
296.2335	-14.8065	17.87	0.00	15.62	0.00
296.2756	-14.7492	19.93	0.00	16.57	0.00
296.1949	-14.8227	18.10	0.00	15.86	0.00
296.2263	-14.7255	18.04	0.00	15.66	0.00
296.1965	-14.7027	18.21	0.00	15.31	0.00
296.3035	-14.7417	18.70	0.00	15.98	0.00
296.1746	-14.7885	18.42	0.00	16.03	0.00
296.1992	-14.8616	20.21	0.00	16.99	0.00
296.2126	-14.8014	18.38	0.00	15.79	0.00
296.2173	-14.7765	18.37	0.00	15.78	0.00
296.2223	-14.9100	18.95	0.00	16.28	0.00
296.2405	-14.8494	19.10	0.00	15.96	0.00
296.1796	-14.7753	18.02	0.00	15.45	0.00
296.2425	-14.9116	18.95	0.00	15.86	0.00
296.2288	-14.7934	18.75	0.00	15.93	0.00
296.2464	-14.7347	19.15	0.00	15.77	0.00
296.2430	-14.8384	18.40	0.00	15.88	0.00
296.2669	-14.7404	18.41	0.00	15.51	0.00
296.2388	-14.8703	19.49	0.00	15.82	0.00
296.2657	-14.7202	19.78	0.00	16.16	0.00
296.2177	-14.7894	19.12	0.00	15.90	0.00
296.2911	-14.6977	19.24	0.00	16.03	0.00
296.2166	-14.7906	20.26	0.00	16.43	0.00
