Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.03438750000000024,0.9238734783715088,9.9778,9501671247.555653,4.839874289840549,69163.07436552177
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.16298657952000029,1.4554141049755593,9.50436,3194184515.3941073,6.1941725677461985,1563768.885775791
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.27753973747999994,1.894696869160043,9.116800000000001,1308579161.2451036,6.400859136260906,2516860.449789479
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.3385115796199998,2.180276529255728,8.978200000000001,951042664.1573945,6.360981994251299,2296053.4522942724
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.34590210594000004,2.2176964738173233,8.961400000000001,914955558.7213839,6.345191815255944,2214072.3851356837
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.34959736910000005,2.2366466001082896,8.953000000000001,897428794.5007509,6.336412760060998,2169765.303012616
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6229284650499998,4.196898489540004,8.1734,149073346.18664104,5.067178924590439,116729.04289366241
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.45259692640000004,2.8352863457287363,8.673200000000001,471194269.4202774,5.968518963667345,930077.1261107386
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6264046188999997,4.230625851967665,8.163200000000002,145612949.86160624,5.059684853865638,114732.07651311287
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.2105642868500002,16.239187147902026,7.093450000000001,12400808.473164393,5.384870181718819,242588.48469220434
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.06875736894000006,1.1715406679097047,9.72417,5298708156.512919,5.5338182079644405,341836.3227375229
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.1703771058400001,1.4803932827961532,9.48712,3069870107.671441,6.2268931953747515,1686138.30790196
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.10571000054000002,1.2755867533072334,9.637970000000001,4344802103.052788,5.907862601145223,808839.963929257
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.10571000054000002,1.2755867533072334,9.637970000000001,4344802103.052788,5.907862601145223,808839.963929257
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.1241863163400001,1.3310253176514513,9.59487,3934322893.55649,6.004328655112113,1010016.9336814566
296.18048,-14.80431,18.0,16.91,15.715288426243275,C,Whitelock,89.99,1.7189999999999994,0.21743842058644258,1.6498270527216385,9.344191128010078,2208976664.3772135,6.360362254033015,2292779.310146754
296.17438,-14.83893,18.38,17.16,15.806238717024511,C,Whitelock,89.99,1.7189999999999994,0.20063415764068293,1.5872091470288203,9.410766740861943,2574937788.9852133,6.337746307544046,2176438.0380044472
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.15190079004,1.418733390099406,9.53022,3390158474.728709,6.1426417816231,1388806.6316462609
296.17703,-14.71031,17.64,16.76,15.95,C,Whitelock,89.99,1.6900000000000013,0.17407236900000012,1.4930431832674276,9.4785,3009539168.873204,6.242702081557544,1748646.735926036
296.21802,-14.92573,17.470000000000002,16.56,15.79,C,Whitelock,89.99,1.6800000000000033,0.20363447428000003,1.5982123204731307,9.39888,2505416885.1137886,6.342642480654069,2201113.7190030115
296.23352,-14.80653,17.67,16.61,15.399052698110834,C,Whitelock,89.99,1.7189999999999994,0.2758671323886217,1.8874138272939656,9.120602133206551,1320085720.2916596,6.399720483854576,2510270.2771546934
296.27563,-14.74923,19.73,18.27,15.931218520811655,C,Whitelock,89.99,1.7189999999999994,0.17754249440674985,1.5050207733470131,9.470405182469824,2953963892.6307945,6.257188820288292,1807960.0105749436
296.19489,-14.82267,17.900000000000002,16.85,15.642816969978394,C,Whitelock,89.99,1.7189999999999994,0.23082847571080056,1.7014863748703175,9.291142022024186,1954978664.0669498,6.369392149407275,2340950.0627547614
296.17468,-14.79389,17.8,16.75,15.70798823238912,C,Whitelock,89.99,1.7189999999999994,0.21878722745694823,1.6549589559310964,9.338847386108837,2181963021.181085,6.361649009150208,2299582.5750731523
296.30014,-14.87872,18.17,17.07,15.568710173289391,C,Whitelock,89.99,1.7189999999999994,0.24452068149632478,1.7559845137800634,9.236895846847835,1725424048.5921013,6.40275651961579,2527880.3826451194
296.22632,-14.72554,17.84,16.71,15.390117163832553,C,Whitelock,89.99,1.7189999999999994,0.27751808992029403,1.8946024296884212,9.116849208809674,1308727441.4417155,6.400845135666552,2516779.31365791
296.19647,-14.70265,18.01,16.6,14.844375026719424,C,Whitelock,89.99,1.7189999999999994,0.37835113062698467,2.389742628438928,8.88763751122216,772035927.6206139,6.274645520504187,1882112.2462173807
296.30347,-14.74166,18.5,17.18,15.582131920335508,C,Whitelock,89.99,1.7189999999999994,0.24204083712620705,1.7459863219684848,9.246720565685592,1764901879.8424442,6.4020125546462765,2523553.722673897
296.17462,-14.78854,18.220000000000002,17.09,15.756352891964994,C,Whitelock,89.99,1.7189999999999994,0.20985122021811486,1.6212545958811466,9.374250316918378,2367283749.8944035,6.351625327125414,2247115.1467687814
296.19916,-14.8616,20.01,18.61,16.403918326957495,C,Whitelock,89.99,1.7189999999999994,0.09020498543725664,1.2308495903197123,9.674138798918682,4722139349.86151,5.821150950981286,662446.7152507148
296.21259,-14.80142,18.18,16.9,15.441067454613789,C,Whitelock,89.99,1.7189999999999994,0.26810435329453464,1.8539770478429605,9.143461376777294,1391430044.9364426,6.398151956102103,2501220.3652437846
296.18277,-14.74815,17.830000000000002,16.62,15.297531532627191,C,Whitelock,89.99,1.7189999999999994,0.29462450352722014,1.9707180916374838,9.077963243703422,1196639250.0560648,6.405803138515682,2545676.0606987295
296.21729,-14.77647,18.17,16.99,15.431067454613787,C,Whitelock,89.99,1.7189999999999994,0.2699519848745351,1.8618812777147202,9.136141376777292,1368174137.655558,6.396867904710936,2493836.084786043
296.22229,-14.90997,18.75,17.42,15.90095327967331,C,Whitelock,89.99,1.7189999999999994,0.18313439593710212,1.5245244572207814,9.457360863539197,2866558858.8441772,6.279758857527469,1904403.0025509514
296.22934,-14.65254,17.78,16.59,15.275060076362314,C,Whitelock,89.99,1.7189999999999994,0.29877640075157785,1.9896486920804786,9.068525232072172,1170914629.305216,6.4051374205955725,2541776.8539956883
296.24048,-14.84939,18.900000000000002,17.38,15.40403250189798,C,Whitelock,89.99,1.7189999999999994,0.2749470481146883,1.8834194372737865,9.122693650797153,1326458450.339563,6.3990450785449315,2506369.393620014
296.29919,-14.69143,17.36,16.22,14.882588620097433,C,Whitelock,89.99,1.7189999999999994,0.3712906664359359,2.351205919343052,8.903687220440922,801100901.4651283,6.290480879777433,1952004.7933066564
296.17957,-14.77527,17.82,16.56,15.108595998348909,C,Whitelock,89.99,1.7189999999999994,0.32953282949889284,2.1356635205490604,8.998610319306543,996805256.0407498,6.376974794569009,2382181.2091481336
296.24246,-14.91158,18.75,17.21,15.32285386123578,C,Whitelock,89.99,1.7189999999999994,0.2899458701255835,1.949601588919767,9.08859862171903,1226305346.4886122,6.405672062725145,2544907.858091755
296.23649,-14.85697,18.98,17.73,15.869432114189664,C,Whitelock,89.99,1.7189999999999994,0.18895834601570116,1.545106238443968,9.443775241215747,2778275065.427882,6.302184470706319,2005323.626747849
296.22876,-14.79337,18.55,17.25,15.494489201659905,C,Whitelock,89.99,1.7189999999999994,0.2582339826044171,1.8123162419393541,9.182566095615051,1522530830.4003606,6.402703843909768,2527573.7938801455
296.2464,-14.73473,18.95,17.32,15.123689977076534,C,Whitelock,89.99,1.7189999999999994,0.32674401832239197,2.12199334886099,9.004949790372144,1011462510.3562814,6.381227078685393,2405620.2930884403
296.24295,-14.83836,18.2,17.06,15.557417357686711,C,Whitelock,89.99,1.7189999999999994,0.24660717776978758,1.7644411500096722,9.228629505826675,1692892986.7937307,6.403206538348591,2530501.146132547
296.26687,-14.74039,18.21,16.86,15.044375026719424,C,Whitelock,89.99,1.7189999999999994,0.34139849902698494,2.1948179281376676,8.97163751122216,936779786.7332383,6.35509533991279,2265141.5155954645
296.23883,-14.87026,19.29,17.5,15.064526092917289,C,Whitelock,89.99,1.7189999999999994,0.33767532439920034,2.176082339743699,8.980100959025263,955214615.8471861,6.362619636403277,2304727.7788889
296.26569,-14.72024,19.580000000000002,17.78,15.42334745225509,C,Whitelock,89.99,1.7189999999999994,0.2713783568900954,1.868006387318801,9.130490335050727,1350486773.2908223,6.395782209391088,2487609.5155075346
296.21774,-14.78943,18.92,17.42,15.313918326957497,C,Whitelock,89.99,1.7189999999999994,0.29159682765725625,1.9570270461500132,9.08484569732215,1215753972.5388024,6.40582453535556,2545801.484269933
296.29114,-14.6977,19.04,17.62,15.44768259882506,C,Whitelock,89.99,1.7189999999999994,0.266882118359435,1.848766735475134,9.148303662339945,1407030988.1206758,6.398925849116187,2505681.399673431
296.21661,-14.79057,20.060000000000002,18.34,15.614297743036325,C,Whitelock,89.99,1.7189999999999994,0.23609777814433608,1.7222562844207623,9.27026594790259,1863227767.8424764,6.3705771755732234,2347346.356877102
296.29965,-14.69757,17.96,16.62,15.014603376600386,C,Whitelock,89.99,1.7189999999999994,0.3468992031218494,2.2227939350012376,8.959133418172163,910192847.0222521,6.342880820423046,2202322.0164524205
