Ra(J2000) deg,Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,selected_Z
296.23651,-14.79789,C,C,0.007527848,19.719,0.016,17.05,89.99,16.52,89.99,16.15,89.99,15.82,0.05,15.79,0.04,15.53,0.06,14.66,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,0.9000000000000021,0.13711973740000016,1.3712597779869362,9.5647,3670286784.8109703,6.104595023188495,1272316.101094867,0.006
296.22876,-14.79337,LPV,C/O,0.008392115,21.033,0.02,18.55,89.99,17.25,89.99,15.494489201659905,89.99,14.19,0.05,13.55,0.04,13.13,0.05,12.66,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,22.307,0.128,23.912,21.545,20.521,1.7189999999999994,0.2582339826044171,1.8123162419393541,9.182566095615051,1522530830.4003606,6.402703843909768,2527573.7938801455,0.006
296.22696,-14.80191,RSG,C/O,0.003049459,16.393,0.006,14.280000000000001,89.99,13.66,89.99,13.27,89.99,13.3,0.06,13.09,0.05,12.76,0.03,12.48,0.04,12.951,0.032,12.921,0.036,11.7,89.99,8.647,89.99,18.559,0.003,20.561,17.347,16.098,1.0100000000000016,0.957935,9.076846686342106,7.46954,29480849.927648377,4.347239058585875,22245.34054555381,0.008
296.24301,-14.74652,RSG,C/O,0.056663768,16.311,0.008,13.9,89.99,13.3,89.99,12.92,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,12.527,0.025,12.403,0.024,11.142,0.168,8.192,89.99,17.891,0.004,20.002,16.712,15.562,0.9800000000000004,1.0955442867900003,12.460752982023205,7.284859999999999,19269036.527132623,5.333907026177092,215728.25283718604,0.008
296.219086,-14.802538,C,C,0.010948462,19.993,0.038,17.109,89.99,16.477,89.99,15.924,89.99,15.66,0.06,15.65,0.07,15.33,0.08,14.93,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.1850000000000023,0.178876211108,1.5096497906239124,9.467294,2932878014.5213757,6.285356386352053,1929107.3083960367,0.006
296.24578,-14.7865,C,C,0.021889205,89.99,89.99,17.38,89.99,16.73,89.99,16.39,89.99,16.05,0.05,16.19,0.03,16.64,0.23,15.9,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.616,0.021,23.343,20.388,19.307,0.9899999999999984,0.09277657947999995,1.2381594580169468,9.668140000000001,4657362049.405452,5.8398516387277475,691594.6718235295,0.003
296.244385,-14.810474,C,C,0.016865309,19.436,0.016,16.672,89.99,15.96,89.99,15.406,89.99,15.01,0.05,15.1,0.04,15.04,0.05,14.51,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.266,0.27458352695199983,1.8818436024714176,9.123520000000001,1328984757.7272913,6.398768659523527,2504774.651407067,0.006
296.251434,-14.798083,C,C,0.021732071,20.177,0.044,17.425,89.99,16.616,89.99,15.988,89.99,15.54,0.05,15.68,0.05,15.31,0.06,14.57,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.4370000000000012,0.16705136899600004,1.469100034700426,9.494878,3125201326.6797304,6.237617659980099,1728294.1501948573,0.006
296.229034,-14.781347,89.99,C,0.020345945,89.99,89.99,17.41,89.99,16.51,89.99,15.87,89.99,15.34,0.07,15.52,0.05,15.2,0.03,14.99,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.540000000000001,0.18885342164000019,1.5447329900330433,9.44402,2779841281.2335486,6.323069663374387,2104115.925196423,0.006
296.244141,-14.813117,C,C,0.018193452,20.198,0.012,17.12,89.99,16.187,89.99,15.233075883215765,89.99,14.65,0.07,14.79,0.06,14.84,0.05,14.33,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.306533532863416,2.025505994706003,9.050891870950622,1124325008.7934892,6.361737887116393,2300053.230689583,0.008
