RA (deg),DE (deg),RUWE,JmagUKIRT,e_JmagUKIRT,HmagUKIRT,e_HmagUKIRT,KmagUKIRT,e_KmagUKIRT,JmagVHS,e_JmagVHS,KsmagVHS,e_KsmagVHS,IRAC1,e_IRAC1,dIRAC1,IRAC2,e_IRAC2,dIRAC2,l_IRAC3,IRAC3,e_IRAC3,dIRAC3,l_IRAC4,IRAC4,e_IRAC4,dIRAC4,l_MIPS24,MIPS24,e_MIPS24,JU,KU,J-K
295.964,-14.663,1.027,17.842,0.048,17.269,0.033,17.216,0.044,18.052,0.069,17.245,0.145,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,17.642,17.146,0.496
295.997,-14.727,0.949,16.9,0.025,16.17,0.016,16.041,0.019,17.05,0.028,16.142,0.055,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.7,15.971,0.729
296.051,-14.773,1.033,16.041,0.014,15.41,0.009,15.254,0.011,16.229,0.013,15.306,0.025,15.16,0.08,-0.04,15.3,0.05,0.03, ,15.21,0.06,-0.16, ,14.89,0.07,-0.2,>,11.97,0,15.841,15.184,0.657
296.072,-14.812,1.008,17.134,0.03,16.333,0.019,16.274,0.025,17.255,0.033,16.328,0.059,16.16,0.08,0.09,16.19,0.06,0.05, ,15.96,0.1,-0.27, ,15.63,0.1,0, ,12.19,0.09,16.934,16.204,0.73
296.091,-14.845,0.955,16.142,0.015,15.52,0.011,15.443,0.012,16.3,0.014,15.459,0.027,15.31,0.06,0,15.34,0.04,-0.06, ,15.2,0.08,-0.2, ,15.53,0.1,0.49,>,12.07,0,15.942,15.373,0.569
296.102,-14.826,0.997,17.334,0.031,16.862,0.03,16.859,0.038,17.522,0.042,16.883,0.099,16.74,0.06,0.08,16.69,0.11,-0.03, ,16.09,0.13,-0.37, ,16.01,0.1,0.31,>,12.48,0,17.134,16.789,0.345
296.107,-14.698,0.843,16.859,0.02,16.083,0.012,15.926,0.016,16.972,0.027,16.051,0.045,15.88,0.09,-0.04,15.93,0.03,-0.05, ,15.47,0.07,-0.59, ,15.75,0.1,-0.04,>,12.62,0,16.659,15.856,0.803
296.118,-14.688,1.123,16.682,0.018,15.97,0.011,15.844,0.015,16.741,0.022,15.884,0.039,15.86,0.04,-0.01,15.8,0.06,-0.08, ,15.92,0.09,-0.3, ,15.52,0.11,0.11,>,12.5,0,16.482,15.774,0.708
296.118,-14.761,1.007,16.692,0.019,16.042,0.015,15.894,0.017,16.915,0.026,15.975,0.042,15.81,0.08,-0.06,15.86,0.04,-0.09, ,15.96,0.08,0.05, ,15.46,0.07,-1.03,>,12.32,0,16.492,15.824,0.668
296.124,-14.877,0.903,15.439,0.008,14.712,0.006,14.573,0.007,15.645,0.008,14.631,0.013,14.47,0.03,-0.08,14.6,0.04,-0.02, ,14.34,0.05,-0.1, ,14.48,0.03,-0.07,>,12.08,0,15.239,14.503,0.736
296.126,-14.81,1.049,14.329,0.005,13.686,0.003,13.485,0.004,14.68,0.004,13.565,0.005,13.26,0.08,0.02,13.04,0.04,-0.06, ,12.87,0.03,-0.04, ,12.53,0.05,0.01, ,8.84,0.01,14.129,13.415,0.714
296.128,-14.655,0.943,15.546,0.008,14.786,0.005,14.623,0.006,15.667,0.009,14.647,0.013,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.346,14.553,0.793
296.134,-14.824,1.022,14.027,0.004,13.322,0.002,13.115,0.003,14.202,0.003,13.108,0.004,13.03,0.06,-0.04,13.04,0.08,0.02, ,12.8,0.04,-0.02, ,12.85,0.03,0.08, ,11.35,0.18,13.827,13.045,0.782
296.135,-14.635,1.059,15.836,0.01,14.999,0.006,14.825,0.007,15.949,0.011,14.867,0.016,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.636,14.755,0.881
296.14,-14.949,0.986,17.139,0.027,16.469,0.021,16.265,0.025,17.293,0.034,16.373,0.062,16.07,0.05,-0.01,16.2,0.06,0.03, ,16.13,0.09,0.55, ,15.3,0.14,0,>,12.52,0,16.939,16.195,0.744
296.14,-14.68,1.012,16.695,0.018,15.91,0.011,15.773,0.014,16.755,0.022,15.809,0.036,15.61,0.09,-0.02,15.81,0.04,0.02, ,15.53,0.12,-0.24, ,15.05,0.08,-0.35,>,12.45,0,16.495,15.703,0.792
296.145,-14.793,1.223,15.914,0.011,15.273,0.008,15.151,0.01,16.152,0.013,15.164,0.021,14.99,0.09,-0.04,15.02,0.02,-0.04, ,14.81,0.04,-0.25, ,14.84,0.05,0.14, ,11.44,0.22,15.714,15.081,0.633
296.153,-14.682,0.976,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,,,
296.158,-14.85,0.984,17.427,0.034,16.782,0.028,16.699,0.033,17.63,0.046,16.777,0.09,16.59,0.07,0.05,16.62,0.05,0.07, ,16.77,0.15,-0.07, ,16.14,0.16,0,>,12.11,0,17.227,16.629,0.598
296.163,-14.91,0.899,15.869,0.011,15.169,0.008,15.038,0.009,      ,      ,      ,      ,14.93,0.08,-0.04,15.07,0.04,-0.04, ,14.86,0.04,-0.09, ,14.8,0.07,-0.29,>,12.77,0,15.669,14.968,0.701
296.165,-14.795,1.076,16.781,0.021,16.183,0.017,16.085,0.02,16.956,0.026,16.121,0.049,15.86,0.03,-0.05,16.07,0.06,0.03, ,15.65,0.06,-0.35, ,16.12,0.19,0,>,12.62,0,16.581,16.015,0.566
296.166,-14.79,1.207,16.371,0.015,15.682,0.011,15.535,0.013,16.521,0.017,15.605,0.031,15.46,0.03,0.03,15.49,0.03,0.08, ,15.36,0.09,-0.14, ,15.64,0.09,-0.11,>,11.99,0,16.171,15.465,0.706
296.169,-14.892,1.064,17.146,0.027,16.48,0.022,16.251,0.023,17.312,0.035,16.29,0.057,15.94,0.04,0,15.99,0.05,0, ,15.51,0.07,-0.49, ,15.67,0.09,0,>,12.91,0,16.946,16.181,0.765
296.17,-14.856,1.1,13.046,0.002,12.348,0.002,12.118,0.002,13.331,0.002,12.26,0.002,12.25,0.07,-0.01,12.25,0.08,-0.03, ,11.86,0.04,-0.02, ,11.74,0.05,0.03, ,10.78,0.08,12.846,12.048,0.798
296.172,-14.716,1.062,16.049,0.011,15.234,0.007,15.082,0.009,16.166,0.013,15.099,0.021,15.01,0.04,0.04,15.04,0.05,-0.02, ,14.8,0.05,-0.13, ,14.89,0.06,-0.03,>,12.15,0,15.849,15.012,0.837
296.175,-14.841,1.095,16.086,0.013,15.48,0.01,15.347,0.011,16.299,0.014,15.357,0.025,15.15,0.03,-0.04,15.23,0.05,-0.09, ,15.22,0.07,-0.18, ,15.04,0.08,0.22, ,7.46,0.01,15.886,15.277,0.609
296.176,-14.798,0.982,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,16.2,0.05,0.21,16.32,0.04,0.12, ,15.91,0.09,-0.24, ,15.68,0.12,-0.39,>,12.12,0,,,
296.177,-14.812,1.054,17.226,0.029,16.531,0.023,16.371,0.025,17.447,0.039,16.35,0.061,16.11,0.05,-0.06,16.31,0.09,0.03, ,16.04,0.08,0.03, ,16.73,0.27,0,>,12.54,0,17.026,16.301,0.725
296.18,-14.864,0.973,15.529,0.009,14.879,0.006,14.723,0.007,15.748,0.009,14.788,0.015,14.6,0.05,-0.05,14.62,0.06,-0.02, ,14.45,0.03,-0.07, ,14.5,0.03,0.08,>,12.29,0,15.329,14.653,0.676
296.183,-14.77,1.053,13.985,0.004,13.263,0.002,13.019,0.003,14.157,0.003,13.002,0.004,12.79,0.1,-0.03,12.87,0.06,-0.06, ,12.42,0.04,-0.05, ,12.32,0.03,0.05, ,11.37,0.18,13.785,12.949,0.836
296.183,-14.859,0.907,15.12,0.007,14.367,0.005,14.169,0.005,15.279,0.006,14.177,0.009,14.06,0.03,-0.01,14.08,0.05,-0.08, ,14.03,0.05,0, ,14.01,0.03,-0.12,>,13.07,0,14.92,14.099,0.821
296.185,-14.86,1.039,17.482,0.035,16.793,0.028,16.758,0.034,17.52,0.042,16.59,0.076,16.44,0.04,-0.02,16.56,0.04,0.12, ,16.64,0.08,-0.52, ,16.53,0.21,0.46, ,11.91,0.21,17.282,16.688,0.594
296.188,-14.855,1.048,14.372,0.005,13.648,0.003,13.466,0.003,14.498,0.003,13.443,0.005,13.4,0.05,0.01,13.4,0.06,-0.04, ,13.44,0.09,0.15, ,13.3,0.04,0.01,>,12.16,0,14.172,13.396,0.776
296.189,-14.857,1.135,15.826,0.011,15.139,0.008,14.989,0.009,15.981,0.011,14.985,0.018,14.83,0.06,0,14.96,0.06,0.02, ,14.86,0.05,0.03, ,14.79,0.06,-0.37,>,12.63,0,15.626,14.919,0.707
