RAJ2000,DEJ2000,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4
296.0241389,-14.67808,18.68,0.16,18.26,0.15,16.4,0.16,16.53,0
296.0251769,-14.68255,19.07,0.14,18.43,0.15,16.38,0,16.12,0
296.0261231,-14.68569,18.15,0.13,17.79,0.11,16.32,0,16.28,0
296.0261539,-14.68804,19.3,0.22,19.03,0.25,16.33,0.14,16.24,0
296.0266419,-14.67684,18.31,0.2,17.83,0.1,17.28,0.23,16.14,0
296.026855,-14.68667,16.2,0.09,16.16,0.05,15.65,0.08,15.82,0.22
296.0269781,-14.68555,17.4,0.06,17.35,0.09,16.27,0,16.2,0
296.0275881,-14.69181,18.18,0.1,18.5,0.12,16.65,0,16.26,0.2
296.0277711,-14.6957,18.06,0.25,16.93,0.05,16.03,0.13,15.22,0.09
296.0283511,-14.70273,17.73,0.07,17.98,0.14,16.76,0.29,16.88,0.25
296.0284119,-14.68117,16.68,0.06,16.44,0.06,15.96,0.16,15.74,0.16
296.0286869,-14.69331,18.09,0.1,17.2,0.06,16.11,0.13,15.45,0.13
296.0292661,-14.68646,17.16,0.05,16.14,0.05,15.31,0.08,14.02,0.07
296.0297239,-14.69276,17.57,0.09,17.54,0.08,16.8,0,16.13,0
296.0298161,-14.69416,18.34,0.08,18.19,0.11,16.49,0,16.18,0
296.0301511,-14.71411,17.23,0.07,17.31,0.1,16.63,0.18,16.15,0
296.0307011,-14.726,17.31,0.09,16.92,0.04,16.61,0.18,15.86,0.16
296.0307011,-14.69462,18.02,0.11,17.05,0.09,16.32,0.13,15.46,0.14
296.0310669,-14.6849,19.55,0.16,18.68,0.16,16.41,0.17,16.26,0.18
296.0313111,-14.70665,16.01,0.13,16.08,0.04,16.56,0.24,15.63,0.21
296.031555,-14.73264,18.24,0.1,18.77,0.25,16.29,0.15,16.05,0
296.0315861,-14.68122,17.46,0.13,16.68,0.04,16.69,0,15.63,0.21
296.0315861,-14.70994,16.74,0.04,16.85,0.06,16.26,0.21,15.98,0.1
296.0316469,-14.67768,14.15,0.13,14.15,0.05,14.07,0.06,13.96,0.07
296.0321039,-14.73239,18.8,0.14,18.33,0.13,16.26,0.13,15.8,0.16
296.0322569,-14.7359,16.78,0.11,16.33,0.05,16.3,0.12,16.07,0.21
296.0323489,-14.73068,17.67,0.08,17.84,0.14,16.24,0.17,16.08,0
296.0326539,-14.74268,16.73,0.15,16.69,0.08,16.2,0.18,15.96,0
296.032715,-14.71501,11.08,0.09,11.16,0.05,11.1,0.08,11.06,0.04
296.032715,-14.71908,17.91,0.1,17.84,0.1,16.92,0.29,15.97,0.16
296.0327761,-14.73449,17.43,0.05,17.36,0.09,15.77,0.09,15.44,0.1
296.0328669,-14.70104,17.42,0.06,17.02,0.06,16.33,0.21,16.17,0.27
296.0331419,-14.71351,16.75,0.19,16.71,0.12,16.53,0.18,15.36,0.2
296.0333561,-14.70048,18.28,0.12,18.1,0.11,16.74,0.25,16.09,0
296.0334169,-14.69419,18.29,0.13,18.29,0.14,17.07,0.15,15.83,0.11
296.0334781,-14.69145,14.9,0.07,14.99,0.08,14.9,0.07,15.41,0.1
296.0335081,-14.69662,15.27,0.1,15.43,0.05,15.34,0.08,15.57,0.13
296.0335689,-14.70361,13.26,0.1,13.17,0.06,13.27,0.08,13.16,0.04
296.0336911,-14.74902,18.71,0.14,18.26,0.14,16.96,0.24,16.28,0.23
296.0337519,-14.70702,18.97,0.11,17.78,0.1,16.17,0.19,16.04,0
296.0337519,-14.74295,18.34,0.14,17.79,0.07,16.4,0.21,16,0.18
296.0339969,-14.74012,19.13,0.16,18.65,0.23,16.4,0.12,16.11,0.25
296.0340269,-14.69822,18.76,0.1,18.64,0.21,16.98,0,15.93,0
296.0340581,-14.70864,19.24,0.16,18.66,0.2,17.07,0.27,16.24,0.27
296.03418,-14.68646,18.33,0.12,17.7,0.06,16.7,0,16.17,0.21
296.03421,-14.7549,19.22,0.2,17.89,0.15,15.98,0.13,16.04,0
296.0342411,-14.69223,18.77,0.09,18.87,0.23,16.95,0.23,15.73,0.16
296.0343019,-14.72251,19.2,0.13,18.8,0.16,17.12,0.23,15.93,0
296.0343631,-14.72063,15.77,0.04,15.79,0.05,15.69,0.1,15.79,0.1
296.034515,-14.73124,17.42,0.07,17.48,0.09,16.41,0.18,16.27,0
