_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
295.89975,-14.51039694,295.89975,-14.510397,18.873,0.111,18.584,0.101,18.196,0.1
295.89975,-14.61063694,295.89975,-14.610637,18.853,0.11,18.453,0.091,18.253,0.106
295.89975,-14.78489806,295.89975,-14.784898,16.839,0.024,16.196,0.017,16.024,0.018
295.89975,-15.12912806,295.89975,-15.129128,17.198,0.026,16.619,0.025,16.384,0.026
295.89978,-14.62363306,295.89978,-14.623633,17.481,0.035,17.145,0.03,17.054,0.038
295.89978,-14.73788889,295.89978,-14.737889,16.328,0.016,15.769,0.012,15.531,0.013
295.89984111,-14.63204194,295.899841,-14.632042,19.029,0.128,18.47,0.093,18.084,0.092
295.89999389,-15.04140111,295.899994,-15.041401,17.919,0.047,17.394,0.048,17.358,0.06
295.90002389,-14.58116611,295.900024,-14.581166,15.982,0.012,15.618,0.009,15.54,0.012
295.90002389,-14.62850611,295.900024,-14.628506,17.332,0.032,16.666,0.02,16.411,0.023
295.90002389,-14.65057194,295.900024,-14.650572,18.851,0.111,18.166,0.072,17.929,0.08
295.90002389,-15.13105,295.900024,-15.13105,18.812,0.097,18.945,0.182,18.518,0.158
295.900055,-15.00400806,295.900055,-15.004008,18.513,0.077,17.956,0.079,17.88,0.094
295.900085,-14.98099389,295.900085,-14.980994,15.887,0.011,15.313,0.009,15.111,0.01
295.90011611,-14.52606111,295.900116,-14.526061,18.357,0.072,17.686,0.047,17.462,0.054
295.90014611,-14.52280194,295.900146,-14.522802,16.083,0.012,15.488,0.008,15.288,0.01
295.90014611,-14.96981611,295.900146,-14.969816,18.213,0.06,17.784,0.071,17.177,0.052
295.90020806,-14.92417194,295.900208,-14.924172,15.862,0.012,15.51,0.01,15.477,0.012
295.90023806,-14.60742611,295.900238,-14.607426,18.861,0.111,18.384,0.086,17.977,0.084
295.90023806,-14.81209194,295.900238,-14.812092,14.737,0.006,14.713,0.006,14.704,0.007
295.90023806,-14.99270806,295.900238,-14.992708,17.175,0.026,16.964,0.034,16.961,0.043
295.90026889,-14.96523889,295.900269,-14.965239,17.73,0.041,17.186,0.043,16.922,0.042
295.90026889,-15.07702,295.900269,-15.07702,14.951,0.006,14.496,0.005,14.398,0.006
295.90029889,-15.0075,295.900299,-15.0075,18.678,0.088,17.863,0.073,17.731,0.083
295.90033,-14.68224694,295.90033,-14.682247,19.133,0.14,18.335,0.083,18.01,0.086
295.90033,-14.75152806,295.90033,-14.751528,16.767,0.023,16.523,0.022,16.462,0.026
295.90036,-14.51573111,295.90036,-14.515731,19.433,0.177,18.871,0.13,18.801,0.167
295.90036,-15.13456111,295.90036,-15.134561,18.983,0.112,18.451,0.119,18.409,0.144
295.90039111,-14.56545306,295.900391,-14.565453,18.745,0.1,18.27,0.078,18.06,0.089
295.90039111,-14.82361111,295.900391,-14.823611,17.474,0.039,16.888,0.029,16.745,0.033
295.90042111,-15.00898111,295.900421,-15.008981,19.164,0.133,18.532,0.13,18.559,0.167
295.90048194,-15.10968694,295.900482,-15.109687,16.852,0.021,16.215,0.018,16.04,0.02
295.90051306,-14.70297194,295.900513,-14.702972,16.203,0.014,15.859,0.011,15.791,0.014
295.90051306,-14.75267806,295.900513,-14.752678,14.111,0.004,13.825,0.003,13.755,0.004
295.90057389,-14.544975,295.900574,-14.544975,17.518,0.036,16.834,0.023,16.553,0.025
