Seq( ),RAJ2000(deg),DEJ2000(deg),M( ),Jmag(mag),e_Jmag(mag),o_Jmag( ),Hmag(mag),e_Hmag(mag),o_Hmag( ),Ksmag(mag),e_Ksmag(mag),o_Ksmag( ),J-H(mag),H-Ks(mag),J-Ks(mag),recno()
30370.0,296.17061,-14.95234, ,17.588,0.087,7.0,17.17,0.044,10.0,17.138,0.078,9.0,0.418,0.032,0.45,1.0
31395.0,296.17062,-14.96028, ,18.749,0.136,14.0,17.952,0.057,14.0,17.686,0.069,12.0,0.797,0.266,1.063,2.0
30746.0,296.17076,-14.97089, ,17.537,0.033,13.0,17.091,0.04,14.0,17.061,0.078,14.0,0.446,0.03,0.476,3.0
31721.0,296.17082,-14.88634, ,18.644,0.072,11.0,17.683,0.047,12.0,17.429,0.085,12.0,0.961,0.254,1.215,4.0
30982.0,296.17091,-14.89924, ,17.498,0.021,11.0,17.0,0.049,15.0,16.867,0.057,13.0,0.498,0.133,0.631,5.0
30841.0,296.17099,-14.93201, ,18.197,0.128,8.0,17.484,0.039,13.0,17.413,0.116,13.0,0.713,0.071,0.784,6.0
30754.0,296.17116,-14.96694, ,18.294,0.061,13.0,17.741,0.056,14.0,17.771,0.004,6.0,0.553,-0.03,0.523,7.0
30950.0,296.17122,-14.90545, ,17.766,0.06,14.0,17.0,0.01,9.0,16.793,0.105,14.0,0.766,0.207,0.973,8.0
31912.0,296.17142,-14.85972, ,18.738,0.196,9.0,17.95,0.129,12.0,17.631,0.136,12.0,0.788,0.319,1.107,9.0
20158.0,296.17154,-14.64617, ,12.833,0.01,13.0,12.45,0.018,14.0,12.305,0.032,14.0,0.383,0.145,0.528,10.0
30190.0,296.17181,-14.93948, ,16.641,0.032,14.0,16.129,0.021,15.0,16.065,0.059,13.0,0.512,0.064,0.576,11.0
30622.0,296.17181,-14.86579, ,17.24,0.056,14.0,16.243,0.053,15.0,15.682,0.034,12.0,0.997,0.561,1.558,12.0
31161.0,296.17181,-14.87106, ,18.323,0.067,11.0,17.379,0.068,14.0,17.082,0.072,11.0,0.944,0.297,1.241,13.0
30264.0,296.17188,-14.88978, ,17.318,0.088,14.0,16.154,0.024,11.0,15.375,0.053,13.0,1.164,0.779,1.943,14.0
30030.0,296.17189,-14.92702, ,14.016,0.022,11.0,13.384,0.01,11.0,13.143,0.044,14.0,0.632,0.241,0.873,15.0
21826.0,296.17204,-14.68595, ,19.179,0.108,13.0,18.082,0.092,17.0,17.159,0.106,14.0,1.097,0.923,2.02,16.0
21801.0,296.1721,-14.69303, ,18.811,0.116,15.0,17.818,0.03,13.0,17.606,0.136,16.0,0.993,0.212,1.205,17.0
20688.0,296.17213,-14.63724, ,17.93,0.129,11.0,17.128,0.03,13.0,16.834,0.033,11.0,0.802,0.294,1.096,18.0
21016.0,296.17232,-14.72025, ,18.381,0.056,13.0,17.492,0.031,13.0,17.294,0.163,17.0,0.889,0.198,1.087,19.0
21118.0,296.17236,-14.70251, ,18.455,0.105,13.0,17.509,0.039,12.0,17.262,0.079,13.0,0.946,0.247,1.193,20.0
10797.0,296.17242,-14.83277, ,16.916,0.032,16.0,16.338,0.022,14.0,16.246,0.054,17.0,0.578,0.092,0.67,21.0
20440.0,296.17242,-14.73434, ,17.401,0.038,14.0,16.649,0.023,15.0,16.442,0.047,13.0,0.752,0.207,0.959,22.0
13485.0,296.17248,-14.81257, ,18.664,0.101,12.0,17.795,0.041,16.0,17.616,0.172,15.0,0.869,0.179,1.048,23.0
31494.0,296.1725,-14.93486, ,18.595,0.164,12.0,17.672,0.066,14.0,17.446,0.111,12.0,0.923,0.226,1.149,24.0
12004.0,296.17257,-14.82113, ,18.888,0.322,14.0,17.516,0.215,17.0,16.737,0.199,17.0,1.372,0.779,2.151,25.0
40001.0,296.17262,-14.8591, ,15.474,0.026,27.0,14.98,0.023,31.0,14.885,0.028,28.0,0.494,0.095,0.589,26.0
21700.0,296.17263,-14.71452, ,18.329,0.085,12.0,17.825,0.094,15.0,17.76,0.107,14.0,0.504,0.065,0.569,27.0
12759.0,296.17263,-14.75833, ,18.042,0.247,17.0,16.956,0.137,12.0,16.822,0.142,15.0,1.086,0.134,1.22,28.0
20308.0,296.17264,-14.66842, ,16.853,0.011,13.0,16.202,0.02,15.0,16.055,0.057,16.0,0.651,0.147,0.798,29.0
21137.0,296.17264,-14.69778, ,18.016,0.023,11.0,17.5,0.069,16.0,17.419,0.153,15.0,0.516,0.081,0.597,30.0
10092.0,296.17278,-14.7586, ,14.713,0.019,16.0,14.306,0.017,16.0,14.183,0.036,18.0,0.407,0.123,0.53,31.0
30214.0,296.17279,-14.92298, ,16.864,0.05,14.0,15.871,0.03,14.0,15.44,0.018,11.0,0.993,0.431,1.424,32.0
20609.0,296.17281,-14.6819, ,17.382,0.031,15.0,16.723,0.043,17.0,16.494,0.03,13.0,0.659,0.229,0.888,33.0
40002.0,296.17281,-14.75015,s,17.591,0.106,26.0,16.53,0.062,26.0,15.915,0.038,24.0,1.061,0.615,1.676,34.0
11069.0,296.17285,-14.8008, ,18.164,0.21,16.0,17.009,0.043,15.0,16.767,0.067,17.0,1.155,0.242,1.397,35.0
13099.0,296.17293,-14.85004, ,18.677,0.128,18.0,17.857,0.038,12.0,17.805,0.236,17.0,0.82,0.052,0.872,36.0
31693.0,296.17298,-14.89037, ,18.626,0.056,13.0,17.948,0.034,13.0,17.86,0.168,12.0,0.678,0.088,0.766,37.0
20539.0,296.17298,-14.71139,s,17.958,0.221,13.0,16.592,0.191,17.0,15.499,0.099,15.0,1.366,1.093,2.459,38.0
12122.0,296.173,-14.81187, ,17.78,0.059,15.0,17.114,0.02,15.0,16.842,0.088,17.0,0.666,0.272,0.938,39.0
13401.0,296.17303,-14.82026, ,18.775,0.085,11.0,17.836,0.068,16.0,17.604,0.038,9.0,0.939,0.232,1.171,40.0
21032.0,296.17311,-14.71804, ,18.453,0.097,15.0,17.458,0.086,16.0,17.171,0.029,10.0,0.995,0.287,1.282,41.0
