Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,Flux_imag,Flambda_imag,err_Flambda_imag,lambda_imag,err_lambda_imag,err_Flambda_prime_imag,Flux_J,Flambda_J,err_Flambda_J,lambda_J,err_lambda_J,err_Flambda_prime_J,Flux_H,Flambda_H,err_Flambda_H,lambda_H,err_lambda_H,err_Flambda_prime_H,Flux_Ks,Flambda_Ks,err_Flambda_Ks,lambda_Ks,err_lambda_Ks,err_Flambda_prime_Ks,Flux_IRAC1,Flambda_IRAC1,err_Flambda_IRAC1,lambda_IRAC1,err_lambda_IRAC1,err_Flambda_prime_IRAC1,Flux_IRAC2,Flambda_IRAC2,err_Flambda_IRAC2,lambda_IRAC2,err_lambda_IRAC2,err_Flambda_prime_IRAC2,Flux_IRAC3,Flambda_IRAC3,err_Flambda_IRAC3,lambda_IRAC3,err_lambda_IRAC3,err_Flambda_prime_IRAC3,Flux_IRAC4,Flambda_IRAC4,err_Flambda_IRAC4,lambda_IRAC4,err_lambda_IRAC4,err_Flambda_prime_IRAC4,Flux_WISE1,Flambda_WISE1,err_Flambda_WISE1,lambda_WISE1,err_lambda_WISE1,err_Flambda_prime_WISE1,Flux_WISE2,Flambda_WISE2,err_Flambda_WISE2,lambda_WISE2,err_lambda_WISE2,err_Flambda_prime_WISE2,Flux_WISE3,Flambda_WISE3,err_Flambda_WISE3,lambda_WISE3,err_lambda_WISE3,err_Flambda_prime_WISE3,Flux_WISE4,Flambda_WISE4,err_Flambda_WISE4,lambda_WISE4,err_lambda_WISE4,err_Flambda_prime_WISE4,f_scale_c,f_scale_o
-14.79789,C,C,0.007527848,19.719,0.016,17.25,,16.52,,16.22,,15.82,0.05,15.79,0.04,15.53,0.06,14.66,0.11,,,,,,,,,,,,,,4.93378953592521E-05,1.97351581437008E-16,3.42418150565305E-17,0.75,0.12533,0.0694855611594267,0.000241261663000731,5.79027991201756E-16,,1.25,0.214914,,0.000282033019221828,5.09698227509329E-16,,1.66,0.260965,,0.000231169458196703,3.16670490680416E-16,,2.19,0.278455,,0.000131993255107205,1.09994379256004E-16,2.49067300368045E-17,3.6,0.743171,0.0886450277393376,8.68056667265472E-05,5.78704444843648E-17,1.39105373623859E-17,4.5,1.009682,0.0935525764246989,7.05826305939514E-05,3.6508257203768E-17,9.63307504031332E-18,5.8,1.391189,0.101699028291126,8.87656007811706E-05,3.3287100292939E-17,1.32448415061471E-17,8,2.831177,0.145475211689508,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,6.5E-16,
-14.79337,LPV,C/O,0.008392115,21.033,0.02,18.75,,17.25,,15.93,,14.19,0.05,13.55,0.04,13.13,0.05,12.66,0.04,,,,,,,,,22.307,0.128,23.912,21.545,20.521,1.4708914365982E-05,5.88356574639282E-17,1.03025158596502E-17,0.75,0.12533,0.0700772901330176,6.06021897734975E-05,1.45445255456394E-16,,1.25,0.214914,,0.000143979266470903,2.60203493622115E-16,,1.66,0.260965,,0.000301946816521744,4.13625776057184E-16,,2.19,0.278455,,0.000592313647316261,4.93594706096884E-16,1.11767802823251E-16,3.6,0.743171,0.0886450277393358,0.000683200345188049,4.55466896792032E-16,1.09482298634622E-16,4.5,1.009682,0.0935525764246972,0.000643721241719376,3.32959262958298E-16,8.65228514791128E-17,5.8,1.391189,0.100322346927969,0.000560073077500764,2.10027404062786E-16,7.7688532934038E-17,8,2.831177,0.136687954220365,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,8.4E-16,2.5E-15
-14.80191,RSG,C/O,0.003049459,16.393,0.006,14.48,,13.66,,13.34,,13.3,0.06,13.09,0.05,12.76,0.03,12.48,0.04,12.951,0.032,12.921,0.036,11.7,,8.647,,18.559,0.003,20.561,17.347,16.098,0.00105579747627013,4.22318990508051E-15,7.15858843510513E-16,0.75,0.12533,0.0680027018085259,0.00309377208888288,7.42505301331892E-15,,1.25,0.214914,,0.00392916219384093,7.10089553103783E-15,,1.66,0.260965,,0.00328042758438823,4.49373641697019E-15,,2.19,0.278455,,0.00134447192933429,1.12039327444524E-15,2.58179380298559E-16,3.6,0.743171,0.0900591664592731,0.0010436336582858,6.95755772190532E-16,1.70024466460895E-16,4.5,1.009682,0.0949508508082477,0.000905102658149363,4.68156547318636E-16,1.17909988724318E-16,5.8,1.391189,0.0975558226919659,0.000661065810847122,2.47899679067671E-16,9.16973785755541E-17,8,2.831177,0.136687954220367,0.00204322774975448,1.81997721177656E-15,3.66861258015922E-16,3.368,0.635793,0.0797507550337695,0.00116570939174718,7.57281978181362E-16,1.92488386427303E-16,4.618,1.107319,0.0983609927060058,0.000661763656486709,1.64318073949688E-16,,12.082,6.275804,,0.00290778369373877,3.93049972119325E-16,,22.194,4.739734,,8.82E-15,1.05E-14
-14.74652,RSG,C/O,0.056663768,16.311,0.008,14.1,,13.3,,12.99,,,,,,,,,,12.527,0.025,12.403,0.024,11.142,0.168,8.192,,17.891,0.004,20.002,16.712,15.562,0.00113862474952924,4.55449899811695E-15,7.75661542705971E-16,0.75,0.12533,0.0682996790024859,0.00439024055312103,1.05365773274905E-14,,1.25,0.214914,,0.00547393904022499,9.89266091606925E-15,,1.66,0.260965,,0.00452825061865877,6.20308303925859E-15,,2.19,0.278455,,,,,3.6,0.743171,,,,,4.5,1.009682,,,,,5.8,1.391189,,,,,8,2.831177,,0.00301937307715891,2.6894653300109E-15,5.34597512731113E-16,3.368,0.635793,0.0787375482415236,0.00187840958413315,1.22027474066683E-15,3.04316067904611E-16,4.618,1.107319,0.0966956755794897,0.0011063764231188,2.74716873808675E-16,1.61158313393207E-16,12.082,6.275804,0.200476811196248,0.00442142331251092,5.97651164167466E-16,,22.194,4.739734,,1E-14,1.6E-14
-14.802538,C,C,0.010948462,19.993,0.038,17.309,,16.477,,15.994,,15.66,0.06,15.65,0.07,15.33,0.08,14.93,0.07,,,,,,,,,,,,,,3.83336893915339E-05,1.53334757566136E-16,2.79539485360237E-17,0.75,0.12533,0.0727301384462855,0.000228501111556063,5.48402667734551E-16,,1.25,0.214914,,0.000293426921099698,5.30289616445238E-16,,1.66,0.260965,,0.000284662628451824,3.89948806098389E-16,,2.19,0.278455,,0.000152950795183436,1.27458995986197E-16,2.93711907664625E-17,3.6,0.743171,0.0900591664592731,9.87524950322152E-05,6.58349966881435E-17,1.66150268241743E-17,4.5,1.009682,0.0977339657752552,8.48589864648467E-05,4.38925792059552E-17,1.1932644150617E-17,5.8,1.391189,0.104439367847696,6.92220882678438E-05,2.59582831004414E-17,9.91339368599467E-18,8,2.831177,0.140475713293021,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,6.9E-16,
-14.7865,C,C,0.021889205,,,17.58,,16.73,,16.46,,16.05,0.05,16.19,0.03,16.64,0.23,15.9,0.11,,,,,,,,,21.616,0.021,23.343,20.388,19.307,,,,0.75,0.12533,,0.000178028001696221,4.27267204070932E-16,,1.25,0.214914,,0.000232434160832903,4.20061736445006E-16,,1.66,0.260965,,0.000185323483561512,2.53867785700701E-16,,2.19,0.278455,,0.000106795201426446,8.89960011887047E-17,2.01519331347216E-17,3.6,0.743171,0.0886450277393358,6.00548486926926E-05,4.00365657951284E-17,9.46359430624306E-18,4.5,1.009682,0.0921497855475444,2.53920544297173E-05,1.31338212567503E-17,4.35859218671711E-18,5.8,1.391189,0.124458632088992,2.83298775123868E-05,1.0623704067145E-17,4.22714130516782E-18,8,2.831177,0.145475211689508,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,4.4E-16,
-14.810474,C,C,0.016865309,19.436,0.016,16.872,,15.96,,15.476,,15.01,0.05,15.1,0.04,15.04,0.05,14.51,0.06,,,,,,,,,,,,,,6.402957505448E-05,2.5611830021792E-16,4.44382325431439E-17,0.75,0.12533,0.0694855611594285,0.000341734099956177,8.20161839894825E-16,,1.25,0.214914,,0.000472389196349828,8.53715415090051E-16,,1.66,0.260965,,0.000458701811372564,6.28358645715841E-16,,2.19,0.278455,,0.000278324693320379,2.31937244433649E-16,5.2519032078395E-17,3.6,0.743171,0.0886450277393358,0.000163888347832257,1.09258898554838E-16,2.62629742014654E-17,4.5,1.009682,0.0935525764246972,0.000110840337716757,5.73312091638396E-17,1.48980978980066E-17,5.8,1.391189,0.100322346927967,0.000101916546001247,3.82187047504678E-17,1.44427386464256E-17,8,2.831177,0.139216793977532,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,9.2E-16,
-14.798083,C,C,0.021732071,20.177,0.044,17.625,,16.616,,16.058,,15.54,0.05,15.68,0.05,15.31,0.06,14.57,0.08,,,,,,,,,,,,,,3.23579216840046E-05,1.29431686736018E-16,2.39068954180541E-17,0.75,0.12533,0.0736108323562643,0.000170800177254874,4.09920425411698E-16,,1.25,0.214914,,0.000258166541394679,4.66566038665083E-16,,1.66,0.260965,,0.000268367830370107,3.67627164890558E-16,,2.19,0.278455,,0.000170825121859192,1.42354268215993E-16,3.22341864377499E-17,3.6,0.743171,0.0886450277393358,9.60612153836357E-05,6.40408102557572E-17,1.56498947341492E-17,4.5,1.009682,0.0949508508082495,8.64366328120935E-05,4.47086031786691E-17,1.17968197431035E-17,5.8,1.391189,0.101699028291126,9.64372231844267E-05,3.616395869416E-17,1.39555676886951E-17,8,2.831177,0.141730993837829,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,5.2E-16,
-14.781347,,C,0.020345945,,,17.61,,16.51,,15.94,,15.34,0.07,15.52,0.05,15.2,0.03,14.99,0.05,,,,,,,,,,,,,,,,,0.75,0.12533,,0.00017317624440456,4.15622986570944E-16,,1.25,0.214914,,0.000284642638618551,5.1441440714196E-16,,1.66,0.260965,,0.000299178551468419,4.0983363214852E-16,,2.19,0.278455,,0.000205376968550492,1.71147473792077E-16,4.01231957232702E-17,3.6,0.743171,0.0914687154373954,0.000111313561191298,7.42090407941984E-17,1.81347436441435E-17,4.5,1.009682,0.0949508508082495,9.56528336768072E-05,4.94756036259347E-17,1.24609340595044E-17,5.8,1.391189,0.0975558226919659,6.55005123063768E-05,2.45626921148913E-17,9.18391996401802E-18,8,2.831177,0.137954214734094,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,7E-16,
-14.813117,C,C,0.018193452,20.198,0.012,17.32,,16.187,,15.349,,14.65,0.07,14.79,0.06,14.84,0.05,14.33,0.05,,,,,,,,,,,,,,3.17380777379031E-05,1.26952310951612E-16,2.18239486013219E-17,0.75,0.12533,0.0688930248512545,0.000226197768957241,5.42874645497378E-16,,1.25,0.214914,,0.000383265702134585,6.9264885927937E-16,,1.66,0.260965,,0.000515620831785266,7.06329906555159E-16,,2.19,0.278455,,0.00038774993992695,3.23124949939125E-16,7.57522464236314E-17,3.6,0.743171,0.0914687154373972,0.000218045976428557,1.45363984285704E-16,3.61046019298699E-17,4.5,1.009682,0.0963446376879293,0.00013325939595784,6.89272737712963E-17,1.79114532462218E-17,5.8,1.391189,0.100322346927971,0.000120294202359621,4.5110325884858E-17,1.68666211561615E-17,8,2.831177,0.137954214734091,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,8.4E-16,
