Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
10870,296.17892,-14.82286,17.52,0.04,16.53,0.04,16.19,0.05,S,0.055300836,Whitelock
10784,296.21545,-14.83469,17.45,0.03,16.53,0.04,16.2,0.06,S,0.036083554,Whitelock
11004,296.27341,-14.80861,17.6,0.03,16.62,0.03,16.27,0.05,S,0.043961252,Whitelock
11029,296.28308,-14.80497,17.46,0.03,16.55,0.02,16.22,0.05,S,0.053182482,Whitelock
12050,296.25427,-14.81764,18.17,0.07,17.25,0.1,16.7,0.05,S,0.029052948,Whitelock
30528,296.19156,-14.89296,17.76,0.06,16.85,0.04,16.51,0.1,S,0.099053004,Whitelock
10326,296.25522,-14.82579,16.82,0.03,15.86,0.03,15.52,0.02,S,0.034897318,Whitelock
10293,296.29922,-14.8365,17.87,0.88,16.35,0.72,14.98,0.07,LAV,0.07748895,Whitelock
10310,296.19168,-14.82965,18.32,0.31,16.8,0.19,15.67,0.1,LAV,0.047447896,Whitelock
10371,296.28415,-14.81194,17.33,0.16,15.94,0.12,15.04,0.07,LAV,0.055115292,Whitelock
10501,296.23456,-14.7733,18,0.37,16.56,0.32,15.48,0.27,LAV,0.028734135,Whitelock
10968,296.20154,-14.81282,19.18,0.6,17.3,0.3,15.91,0.2,LAV,0.030566225,Whitelock
11391,296.18323,-14.76308,18.39,0.32,16.94,0.18,15.82,0.14,LAV,0.060635147,Whitelock
11401,296.27222,-14.76143,18.09,0.24,16.73,0.17,15.62,0.07,LAV,0.058324832,Whitelock
11403,296.22778,-14.76111,18.35,0.34,17.01,0.15,16.18,0.09,LAV,0.040620709,Whitelock
11991,296.27774,-14.82287,18.46,0.18,17.17,0.22,16.13,0.2,LAV,0.052235501,Whitelock
12070,296.24905,-14.81619,17.49,0.09,16.92,0.21,15.98,0.27,LAV,0.023952722,Whitelock
12660,296.25348,-14.76936,18.38,0.35,16.83,0.3,15.54,0.27,LAV,0.039940537,Whitelock
12711,296.24728,-14.76419,18.94,1.05,17.79,0.92,16.8,0.63,LAV,0.041271646,Whitelock
13390,296.24246,-14.82114,19.99,0.74,18.4,0.44,16.77,0.21,LAV,0.023115633,Whitelock
14105,296.17993,-14.75767,19.23,0.39,17.44,0.33,15.98,0.26,LAV,0.066655869,Whitelock
20438,296.27051,-14.73481,19.39,0.38,17.7,0.27,16.08,0.21,LAV,0.07817493,Whitelock
20608,296.18378,-14.68249,19.57,1.4,17.64,0.95,16.06,0.67,LAV,0.127828638,Whitelock
20614,296.2677,-14.68061,19.6,1.62,17.6,0.76,16.3,0.53,LAV,0.126794375,Whitelock
21316,296.17764,-14.6424,18.63,0.79,17.47,0.64,16.42,0.45,LAV,0.167655905,Whitelock
30767,296.26511,-14.96155,18.07,0.4,17.09,0.3,16.45,0.2,LAV,0.163689726,Whitelock
30924,296.21112,-14.91074,19.46,0.36,17.55,0.2,16.25,0.13,LAV,0.110692002,Whitelock
30961,296.30179,-14.90356,19.75,0.26,17.75,0.18,15.96,0.44,LAV,0.124640989,Whitelock
40030,296.18011,-14.75091,17.02,0.16,16.27,0.2,15.81,0.12,LAV,0.071172956,Whitelock
40275,296.22681,-14.75065,17.13,0.34,15.92,0.29,15.11,0.28,LAV,0.051119629,Whitelock
40327,296.23346,-14.74996,17.71,0.18,16.93,0.23,16.52,0.18,LAV,0.051825628,Whitelock
40419,296.24622,-14.86655,17.98,0.08,16.67,0.06,15.79,0.08,LAV,0.066876773,Whitelock
40493,296.26105,-14.73764,18.29,0.15,16.78,0.16,15.38,0.19,LAV,0.07116139,Whitelock
40538,296.2731,-14.75146,17.31,0.16,16.57,0.17,15.96,0.2,LAV,0.066171399,Whitelock
12557,296.18398,-14.78018,18.23,,17.51,,17.12,,O,0.050790358,Whitelock
11226,296.25229,-14.78475,17.49,,16.54,,16.08,,O,0.027984469,Whitelock
20331,296.20415,-14.63486,16.58,,15.91,,15.46,,O,0.168801062,Whitelock
10184,296.22364,-14.77473,16.44,,15.58,,15.13,,O,0.027680556,Whitelock
30133,296.21816,-14.88035,16.3,,15.53,,15.09,,O,0.079565872,Whitelock
20134,296.21322,-14.68097,16.35,,15.55,,15.07,,O,0.121860816,Whitelock
40139,296.20428,-14.74271,15.25,,14.32,,13.92,,O,0.064325734,Whitelock
40363,296.23649,-14.85697,19.18,,17.73,,16.32,,C,0.05567953,Whitelock
10198,296.25088,-14.76786,15.5,,14.68,,14.19,,O,0.039737772,Whitelock
30292,296.18801,-14.87231,15.88,,15.19,,14.68,,O,0.082177672,Whitelock
10091,296.26702,-14.76311,15.46,,14.67,,14.18,,O,0.053454223,Whitelock
20004,296.21293,-14.73224,13.72,,12.97,,12.57,,O,0.071497621,Whitelock
10817,296.23639,-14.83054,17.7,,16.76,,16.04,,LPV,0.029568717,Whitelock
