Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.03438750000000024,0.9238734783715088,9.9778,9501671247.555653,4.839874289840549,69163.07436552177
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.16298657952000029,1.4554141049755593,9.50436,3194184515.3941073,6.1941725677461985,1563768.885775791
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.27753973747999994,1.894696869160043,9.116800000000001,1308579161.2451036,6.400859136260906,2516860.449789479
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.3385115796199998,2.180276529255728,8.978200000000001,951042664.1573945,6.360981994251299,2296053.4522942724
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.34590210594000004,2.2176964738173233,8.961400000000001,914955558.7213839,6.345191815255944,2214072.3851356837
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.34959736910000005,2.2366466001082896,8.953000000000001,897428794.5007509,6.336412760060998,2169765.303012616
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6229284650499998,4.196898489540004,8.1734,149073346.18664104,5.067178924590439,116729.04289366241
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.45259692640000004,2.8352863457287363,8.673200000000001,471194269.4202774,5.968518963667345,930077.1261107386
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6264046188999997,4.230625851967665,8.163200000000002,145612949.86160624,5.059684853865638,114732.07651311287
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.2105642868500002,16.239187147902026,7.093450000000001,12400808.473164393,5.384870181718819,242588.48469220434
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.06875736894000006,1.1715406679097047,9.72417,5298708156.512919,5.5338182079644405,341836.3227375229
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.1703771058400001,1.4803932827961532,9.48712,3069870107.671441,6.2268931953747515,1686138.30790196
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.10571000054000002,1.2755867533072334,9.637970000000001,4344802103.052788,5.907862601145223,808839.963929257
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.10571000054000002,1.2755867533072334,9.637970000000001,4344802103.052788,5.907862601145223,808839.963929257
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.1241863163400001,1.3310253176514513,9.59487,3934322893.55649,6.004328655112113,1010016.9336814566
296.18048,-14.80431,18.0,16.91,15.730363661819847,C,Whitelock,89.99,1.726,0.214653072453721,1.6392797438639441,9.35522620045213,2265824145.2745557,6.3574474514061325,2277442.6600690214
296.17438,-14.83893,18.38,17.16,15.827780416726204,C,Whitelock,89.99,1.726,0.19665404517511043,1.5727295440487818,9.425823359608994,2665774194.905075,6.329997740621389,2137950.9669725825
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.15190079004,1.418733390099406,9.53022,3390158474.728709,6.1426417816231,1388806.6316462609
296.17703,-14.71031,17.64,16.76,15.95,C,Whitelock,89.99,1.6900000000000013,0.17407236900000012,1.4930431832674276,9.4785,3009539168.873204,6.242702081557544,1748646.735926036
296.21802,-14.92573,17.470000000000002,16.56,15.79,C,Whitelock,89.99,1.6800000000000033,0.20363447428000003,1.5982123204731307,9.39888,2505416885.1137886,6.342642480654069,2201113.7190030115
296.23352,-14.80653,17.67,16.61,15.413820006824306,C,Whitelock,89.99,1.726,0.2731386777955598,1.8755933220860082,9.12680440286621,1339073460.96999,6.397616547603823,2498138.701645829
296.27563,-14.74923,19.73,18.27,15.980165711329334,C,Whitelock,89.99,1.726,0.16849885691147581,1.4740046613020668,9.491501421582944,3100997539.059647,6.218712966327731,1654675.9944402708
296.19489,-14.82267,17.900000000000002,16.85,15.657276351828765,C,Whitelock,89.99,1.726,0.2281569146573983,1.6910518141113042,9.301726289538657,2003209123.660228,6.368269185465295,2334904.8402763773
296.17468,-14.79389,17.8,16.75,15.718752491882277,C,Whitelock,89.99,1.726,0.21679838887946112,1.6473974480046896,9.346726824057829,2221911844.341606,6.359723043283255,2289407.194607024
296.30014,-14.87872,18.17,17.07,15.590867726717287,C,Whitelock,89.99,1.726,0.2404267819514332,1.7395094080555975,9.253115175957054,1791080790.054371,6.370504663748928,2346954.465741212
296.22632,-14.72554,17.84,16.71,15.408887521766337,C,Whitelock,89.99,1.726,0.27405001931165796,1.8795332771797562,9.124732759141862,1332701109.0794308,6.398353184606616,2502379.5636158697
296.19647,-14.70265,18.01,16.6,14.879157581534457,C,Whitelock,89.99,1.726,0.3719245959560511,2.3546404257781197,8.902246184244474,798447166.9074485,6.289123895560403,1945915.1332526603
296.30347,-14.74166,18.5,17.18,15.611371791614724,C,Whitelock,89.99,1.726,0.23663838616914568,1.7244014770051044,9.26812415146198,1854061566.9566414,6.370620212395429,2347578.980909049
296.17462,-14.78854,18.220000000000002,17.09,15.77543117676188,C,Whitelock,89.99,1.726,0.20632625606981891,1.6081488928396275,9.388215621389698,2444643984.4170375,6.346727583374945,2221915.729118504
296.19916,-14.8616,20.01,18.61,16.44855454139176,C,Whitelock,89.99,1.726,0.0819578574972164,1.2076966385258647,9.69337700733985,4936021098.100821,5.629695869927564,426280.89597775636
296.21259,-14.80142,18.18,16.9,15.466304276672693,C,Whitelock,89.99,1.726,0.2634415183530474,1.8341781619480624,9.161934730524411,1451893398.2779949,6.400783524025751,2516422.293453997
296.18277,-14.74815,17.830000000000002,16.62,15.31814945173958,C,Whitelock,89.99,1.726,0.29081507168062637,1.9535074494067455,9.086622769730624,1220738859.8964522,6.405766745813998,2545462.748875138
296.21729,-14.77647,18.17,16.99,15.456304276672691,C,Whitelock,89.99,1.726,0.26528914993304786,1.8419979814192187,9.154614730524411,1427626926.2588317,6.3998446289643445,2510987.9522297774
296.22229,-14.90997,18.75,17.42,15.928653516637022,C,Whitelock,89.99,1.726,0.17801641267833834,1.5066640043368702,9.469299665670558,2946454002.6190906,6.259139352148615,1816098.3010814155
296.22934,-14.65254,17.78,16.59,15.2950621417485,C,Whitelock,89.99,1.726,0.2950807559843034,1.9727895373439583,9.076926099534372,1193784950.2135499,6.405766042414747,2545458.6261537694
296.24048,-14.84939,18.900000000000002,17.38,15.446205301427437,C,Whitelock,89.99,1.726,0.26715506849192483,1.8499290337647623,9.147222280644884,1403531876.5833874,6.398758224198836,2504714.4668460623
296.29919,-14.69143,17.36,16.22,14.90197483175742,C,Whitelock,89.99,1.726,0.3677088087479805,2.3318940202315037,8.911829429338116,816261718.7769538,6.29790772875588,1985672.991705288
296.17957,-14.77527,17.82,16.56,15.13321696668161,C,Whitelock,89.99,1.726,0.3249837816367249,2.1134101148342967,9.008951126006277,1020824597.1860615,6.383736305907144,2419559.497134538
296.24246,-14.91158,18.75,17.21,15.363487026449732,C,Whitelock,89.99,1.726,0.28243835820111785,1.9161890682040201,9.10566455110889,1275453268.6298273,6.40352815403719,2532375.7964534857
296.23649,-14.85697,18.98,17.73,15.902982961552295,C,Whitelock,89.99,1.726,0.1827593855034053,1.5232086085565704,9.45823565642904,2872338744.763668,6.278276260062444,1897912.8230019386
296.22876,-14.79337,18.55,17.25,15.526808341570131,C,Whitelock,89.99,1.726,0.25226259625075986,1.7875681015812084,9.206223706029338,1607769205.1584067,6.403606146323446,2532830.611151216
296.2464,-14.73473,18.95,17.32,15.173253021320415,C,Whitelock,89.99,1.726,0.31758659374779885,2.0777179593628654,9.025766268954575,1061124321.6451658,6.392802809740624,2470602.119959428
296.24295,-14.83836,18.2,17.06,15.580498691703909,C,Whitelock,89.99,1.726,0.24234259760591748,1.7471999057846732,9.245525042327262,1760050149.0446439,6.402115146563645,2524149.9236556683
296.26687,-14.74039,18.21,16.86,15.079157581534457,C,Whitelock,89.99,1.726,0.33497196435605137,2.162578915115838,8.986246184244473,968826890.0108459,6.3677057103309505,2331877.383698754
296.23883,-14.87026,19.29,17.5,15.1230190161911,C,Whitelock,89.99,1.726,0.3268679871744793,2.1225991558407467,9.004667986800262,1010806408.7841095,6.381045262941177,2404613.4000211344
296.26569,-14.72024,19.580000000000002,17.78,15.480300741213394,C,Whitelock,89.99,1.726,0.26085548736367237,1.8232888971692793,9.172180142568205,1486552126.717851,6.401870448038702,2522728.1192908124
296.21774,-14.78943,18.92,17.42,15.358554541391763,C,Whitelock,89.99,1.726,0.283349699717216,1.9202143005350127,9.103592907384542,1269383671.0427125,6.403914553637254,2534629.899287835
296.29114,-14.6977,19.04,17.62,15.492010886396224,C,Whitelock,89.99,1.726,0.2586918839590544,1.8142280776544668,9.180751968842038,1516184207.866034,6.402577650892215,2526839.463048254
296.21661,-14.79057,20.060000000000002,18.34,15.677717496119751,C,Whitelock,89.99,1.726,0.22438014428506214,1.6764096197570686,9.316689207159659,2073429184.5773633,6.366095941507032,2323249.976917118
296.29965,-14.69757,17.96,16.62,15.044459101605804,C,Whitelock,89.99,1.726,0.3413829650854687,2.1947394248063605,8.971672822674439,936855957.1681395,6.355127981513894,2265311.7701750943
296.28125,-14.67393,19.96,18.21,15.470066736084076,C,Whitelock,89.99,1.726,0.26274635447035344,1.8312445891380338,9.164688850813544,1461129976.483027,6.401101681405867,2518266.4606940006
296.28897,-14.81087,19.73,17.89,15.536106326182178,C,Whitelock,89.99,1.726,0.2505446712508026,1.7805110416545284,9.213029830765356,1633164122.6158912,6.403612504971692,2532867.6954281228
