Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.03284029866000027,0.927170705405035,9.933,8570378452.303693,5.356315825595932,227151.6132699449
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.12499166696400033,1.3334958454336838,9.56232,3650228066.0526657,6.016161806482417,1037915.0431131477
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.2540675,1.7950125940765516,9.18802,1541771452.5139883,6.341447411862766,2195065.1355488957
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.30890636355099943,2.0366029267757324,9.055390000000001,1136030522.4602892,6.371358994315874,2351575.8654532298
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.3233627271869999,2.1055362709836483,9.02743,1065197160.3331091,6.370794960142014,2348523.7699825615
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.33059090900499966,2.1408730196570027,9.01345,1031454322.036117,6.368041712152632,2333682.191845845
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6486309089970002,4.452776623405408,8.17497,149613230.33666316,5.089882895725894,122993.70827172192
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.471540454456,2.96169583400115,8.66056,457677961.06575596,5.906704353397564,806685.6908268069
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6522449999059998,4.489986134943142,8.16506,146237919.56534413,5.081768501607566,120717.01878476911
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.2237,16.73786266001993,7.093450000000001,12400808.473164393,5.3779584855481986,238758.30416096057
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.02492179087799995,1.0590629885955938,9.82201,6637583538.268608,5.543383421850348,349448.6941069722
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.13391388918800007,1.361174765416085,9.53744,3446989813.5922914,6.054766366844764,1134400.3892109727
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.055844444727999765,1.1372198843006511,9.75514,5690363369.228349,5.7007270795913705,502027.0053247494
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.055844444727999765,1.1372198843006511,9.75514,5690363369.228349,5.7007270795913705,502027.0053247494
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.07815000028800023,1.1971539430266935,9.69294,4931056741.823278,5.803389234942514,635900.6002677871
296.18048,-14.80431,18.0,16.91,15.715288426243275,C,Whitelock,89.99,1.7189999999999994,0.19072872079005676,1.5514176243490991,9.379009401123316,2393367564.8004394,6.269239650911706,1858829.905365042
296.17438,-14.83893,18.38,17.16,15.806238717024511,C,Whitelock,89.99,1.7189999999999994,0.17044175314786636,1.4806136645133288,9.435580481989245,2726342928.797261,6.200233289082764,1585744.7750119444
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.11160833362799982,1.293029203350276,9.59964,3977773040.6152744,5.956704922713971,905117.4184461741
296.17703,-14.71031,17.64,16.76,15.95,C,Whitelock,89.99,1.6900000000000013,0.13837500029999994,1.3752289315519677,9.524999999999999,3349654391.5782657,6.0736939700868655,1184933.478785677
296.21802,-14.92573,17.470000000000002,16.56,15.79,C,Whitelock,89.99,1.6800000000000033,0.17406388919600002,1.493014031181728,9.42548,2663667427.5242233,6.213267223146127,1634057.0805429774
296.23352,-14.80653,17.67,16.61,15.399052698110834,C,Whitelock,89.99,1.7189999999999994,0.25280691178806636,1.7898099239717387,9.189676643754282,1547663868.5313175,6.338306165786741,2179245.539731353
296.27563,-14.74923,19.73,18.27,15.931218520811655,C,Whitelock,89.99,1.7189999999999994,0.14256431357534605,1.388558922895858,9.51331791994485,3260753130.8545275,6.091215076945099,1233715.6586328254
296.19489,-14.82267,17.900000000000002,16.85,15.642816969978394,C,Whitelock,89.99,1.7189999999999994,0.20689388173236067,1.6102521278883992,9.333932155326561,2157407356.675609,6.316528905544212,2072664.0062750427
296.17468,-14.79389,17.8,16.75,15.70798823238912,C,Whitelock,89.99,1.7189999999999994,0.19235706958618293,1.5572454463102936,9.374468680546032,2368474321.4229994,6.274331782987878,1880753.0855312124
296.30014,-14.87872,18.17,17.07,15.568710173289391,C,Whitelock,89.99,1.7189999999999994,0.22342381444156256,1.6727221754941757,9.277098549477024,1892773075.251728,6.346048943522861,2218446.417139508
296.22632,-14.72554,17.84,16.71,15.390117163832553,C,Whitelock,89.99,1.7189999999999994,0.25405118493631706,1.7949451624237789,9.188041440981358,1541847571.162445,6.341407053372981,2194861.1601326573
296.19647,-14.70265,18.01,16.6,14.844375026719424,C,Whitelock,89.99,1.7189999999999994,0.3868351891196693,2.43688586643429,8.89282565147895,781314081.280776,6.277997269359092,1896693.9956474754
296.30347,-14.74166,18.5,17.18,15.582131920335508,C,Whitelock,89.99,1.7189999999999994,0.22043001919706828,1.6612309708328585,9.290225018088126,1950855121.432341,6.344183903911528,2208939.920340481
296.17462,-14.78854,18.220000000000002,17.09,15.756352891964994,C,Whitelock,89.99,1.7189999999999994,0.18156906357308134,1.5190394877060476,9.404551498802226,2538349966.6074047,6.239316819179415,1735069.2746350423
296.19916,-14.8616,20.01,18.61,16.016858999909136,C,Whitelock,89.99,1.7189999999999994,0.12346172892840723,1.3288064543545552,9.566586297943482,3686262836.9898486,6.009451411194544,1022001.2128518618
296.21259,-14.80142,18.18,16.9,15.441067454613789,C,Whitelock,89.99,1.7189999999999994,0.24695635694503004,1.7658603571992688,9.197365344194324,1575307512.7586231,6.3231212679823265,2104365.959523909
296.18277,-14.74815,17.830000000000002,16.62,15.297531532627191,C,Whitelock,89.99,1.7189999999999994,0.2669437340816635,1.8490290486831142,9.171098270470777,1482853581.5436907,6.3708536178366595,2348840.993202036
296.21729,-14.77647,18.17,16.99,15.431067454613787,C,Whitelock,89.99,1.7189999999999994,0.24834885694503017,1.7715314099306825,9.195535344194324,1568683556.6829686,6.326825576792506,2122391.886696252
296.22229,-14.90997,18.75,17.42,15.90095327967331,C,Whitelock,89.99,1.7189999999999994,0.1493151437528275,1.4103118133533383,9.4944929399568,3122431646.468277,6.118886767391434,1314881.9613249348
296.22934,-14.65254,17.78,16.59,15.275060076362314,C,Whitelock,89.99,1.7189999999999994,0.27007288436654775,1.8623996629230175,9.166985993974304,1468878905.4383764,6.377255985882154,2383724.0921215657
