Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.03080000000000016,0.9315367652385738,9.9146052,8214955211.988156,4.806342173127915,64023.90701327843
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.15456000000000025,1.4274470256373366,9.334862719999999,2162034998.856935,5.913363365531921,819149.8678567732
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.23753999999999964,1.727985126490533,9.12218498,1324905735.03263,6.171878025157913,1485518.3647875185
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.3230099999999996,2.1038268816129224,8.903125370000001,800065180.5646915,5.993024574556815,984066.787612975
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.3287099999999996,2.131621048540335,8.88851627,773599659.6421297,5.96534379414317,923302.0379265219
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.338649999999999,2.180971548000116,8.863040050000002,729524782.857878,5.913257444608034,818950.1081669204
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6312499999999996,4.278090819876377,8.128924999999999,134562795.22745678,4.887177717098244,77121.89940559721
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.5324800000000001,3.4078463072678575,8.3738128,236490010.19237122,5.040149114682775,109685.47357433561
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6355,4.320161676181424,8.120374,131939246.6481611,4.862993753502773,72944.70184759804
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.25755,18.09464220529312,7.071607799999999,11792552.00079273,4.5548597222959515,35880.602109661486
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.09959000000000007,1.2577374716423007,9.50139929,3172482900.8592405,5.604307105693695,402075.03247441683
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.1585200000000001,1.440522347224557,9.32471324,2112093986.2554572,5.933627322072142,858276.6987408804
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.12386999999999992,1.3300562245916174,9.42445597,2657394121.7825823,5.7478706907330395,559590.9609469974
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.12386999999999992,1.3300562245916174,9.42445597,2657394121.7825823,5.7478706907330395,559590.9609469974
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.13377000000000017,1.3607238596416453,9.393082869999999,2472195832.6202445,5.802175579087673,634126.0275828801
296.18048,-14.80431,18.0,16.91,15.633648961377123,C,Whitelock,89.99,1.5809999999999995,0.19416591217127066,1.563744921158064,9.233352767105034,1711404884.2452674,6.083677384087363,1212487.8185475327
296.17438,-14.83893,18.38,17.16,15.713241460264548,C,Whitelock,89.99,1.5809999999999995,0.18556992229142866,1.5330980183806655,9.255384289167068,1800463365.8047771,6.053267756855604,1130492.6858436044
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.14861999999999997,1.4080562349321435,9.35008694,2239169345.7337885,5.88179403290653,761717.6745936193
296.17703,-14.71031,17.64,16.76,15.903074201803472,C,Whitelock,89.99,1.5809999999999995,0.1650679862052249,1.4624060874704932,9.30793075135601,2032032975.6256769,5.965685150156412,924028.0397804258
296.21802,-14.92573,17.470000000000002,16.56,15.747379320904068,C,Whitelock,89.99,1.5809999999999995,0.18188303334236056,1.5201380623741578,9.26483378554353,1840067630.6136663,6.0390375695356955,1094051.0053066919
296.23352,-14.80653,17.67,16.61,15.31795408047772,C,Whitelock,89.99,1.5809999999999995,0.2561998931562699,1.8038478086548648,9.07435967384048,1186751184.44319,6.173305992633802,1490410.812682397
296.27563,-14.74923,19.73,18.27,15.790085860311253,C,Whitelock,89.99,1.5809999999999995,0.17727072708638458,1.5040792750500578,9.276655126477596,1890841503.8761797,6.020268958339848,1047777.2350444369
296.19489,-14.82267,17.900000000000002,16.85,15.56225919957832,C,Whitelock,89.99,1.5809999999999995,0.20187600644554138,1.5917542072549742,9.213591795480077,1635278758.411964,6.1075210055718365,1280917.047302185
296.17468,-14.79389,17.8,16.75,15.633920628785509,C,Whitelock,89.99,1.5809999999999995,0.19413657209116497,1.5636392811985353,9.233427965730344,1711701241.7688508,6.083580348288413,1212216.9387963829
296.30014,-14.87872,18.17,17.07,15.474631222063351,C,Whitelock,89.99,1.5809999999999995,0.211339828017158,1.6268212176729746,9.189336020792023,1546450490.9861298,6.1321411970764235,1355630.080837199
296.22632,-14.72554,17.84,16.71,15.301987532169937,C,Whitelock,89.99,1.5809999999999995,0.2603352291679859,1.8211060164576924,9.063760807642453,1158139322.7794342,6.170508148980008,1480840.0410745577
296.19647,-14.70265,18.01,16.6,14.728121338938799,C,Whitelock,89.99,1.5809999999999995,0.4737736945474169,2.976964765877248,8.521459158213245,332245538.81011695,5.127956703836799,134263.11034088125
296.30347,-14.74166,18.5,17.18,15.475613482749578,C,Whitelock,89.99,1.5809999999999995,0.2112337438630455,1.626423886175998,9.189607914479014,1547418962.357877,6.131894387336407,1354859.89455115
296.17462,-14.78854,18.220000000000002,17.09,15.66768241306934,C,Whitelock,89.99,1.5809999999999995,0.19049029938851125,1.5505661522123093,9.242773362667245,1748933766.3043811,6.071157133860292,1178032.12503696
296.19916,-14.8616,20.01,18.61,16.270357527719632,C,Whitelock,89.99,1.5809999999999995,0.12878460475575637,1.3451930187445658,9.408881587529008,2563784912.9739423,5.775187520419531,595919.395089722
296.21259,-14.80142,18.18,16.9,15.341580031057362,C,Whitelock,89.99,1.5809999999999995,0.2500807719561431,1.7786101728514134,9.090042981476405,1230390534.7009413,6.175364739271786,1497492.787273481
296.18277,-14.74815,17.830000000000002,16.62,15.206156817566344,C,Whitelock,89.99,1.5809999999999995,0.28515538425031695,1.9282146769620718,9.000146750166438,1000337961.8418746,6.129917297048493,1348706.0232608025
296.21729,-14.77647,18.17,16.99,15.33158003105736,C,Whitelock,89.99,1.5809999999999995,0.2526707719561436,1.7892489538346776,9.083404811476404,1211727073.720516,6.174796042372831,1495533.1442277592
296.22229,-14.90997,18.75,17.42,15.797139078252574,C,Whitelock,89.99,1.5809999999999995,0.1765089795487219,1.5014434495407625,9.278607485416625,1899360864.9569464,6.017068038087208,1040083.096109015
296.22934,-14.65254,17.78,16.59,15.184767055767542,C,Whitelock,89.99,1.5809999999999995,0.2906953325562065,1.9529689230416498,8.985947862658442,968161620.8374645,6.1153614397953895,1304251.7850744992
296.24048,-14.84939,18.900000000000002,17.38,15.274798480524426,C,Whitelock,89.99,1.5809999999999995,0.26737719354417333,1.850875443866996,9.045712252946284,1110995379.9647617,6.163128786729538,1455890.7499170448
296.29919,-14.69143,17.36,16.22,14.79337729396874,C,Whitelock,89.99,1.5809999999999995,0.44134148489753544,2.762749346770404,8.603026165482698,400890869.87324566,5.271127279060131,186692.67525079008
296.17957,-14.77527,17.82,16.56,15.010190269258558,C,Whitelock,89.99,1.5809999999999995,0.3335854361784958,2.1556856771182002,8.876020527074516,751658420.5662543,5.940378134189379,871722.2561210641
296.24246,-14.91158,18.75,17.21,15.19632407602742,C,Whitelock,89.99,1.5809999999999995,0.2877020643088981,1.9395548432476777,8.993619609176294,985415999.1573322,6.123470583330814,1328833.5463566396
296.23649,-14.85697,18.98,17.73,15.755341815341193,C,Whitelock,89.99,1.5809999999999995,0.18102308394315103,1.5171310049912576,9.267037835853703,1849429734.782615,6.035618848175489,1085472.5572811342
296.22876,-14.79337,18.55,17.25,15.382562291743588,C,Whitelock,89.99,1.5809999999999995,0.23946636643841046,1.7356668404448872,9.117247702818354,1309928836.8173728,6.1730817021494495,1489641.291835468
296.2464,-14.73473,18.95,17.32,14.981475622110054,C,Whitelock,89.99,1.5809999999999995,0.347856615811303,2.2276995432720295,8.83944349367563,690945024.2706596,5.861113968596188,726296.5289003871
296.24295,-14.83836,18.2,17.06,15.461715864761555,C,Whitelock,89.99,1.5809999999999995,0.21896559102675717,1.6556387826928534,9.16979119019842,1478397400.3354075,6.148107550036338,1406395.765230166
296.26687,-14.74039,18.21,16.86,14.928121338938798,C,Whitelock,89.99,1.5809999999999995,0.37437369454741676,2.367956361127384,8.77148022087497,590854055.6257651,5.695023718853928,495477.25039707724
296.23883,-14.87026,19.29,17.5,14.906627168192689,C,Whitelock,89.99,1.5809999999999995,0.3850562974082332,2.4269246759018586,8.744583412018292,555371273.2996242,5.6244554681545065,421168.09865225083
296.26569,-14.72024,19.580000000000002,17.78,15.268152763695682,C,Whitelock,89.99,1.5809999999999995,0.2690984342028182,1.8582255800055867,9.041300713138178,1099767073.9220772,6.16082429812624,1448185.8446152941
296.21774,-14.78943,18.92,17.42,15.180357527719636,C,Whitelock,89.99,1.5809999999999995,0.2918374003206141,1.958111420121372,8.983020742978265,961658208.4605615,6.112116929900441,1294544.3390044726
296.29114,-14.6977,19.04,17.62,15.314662646820237,C,Whitelock,89.99,1.5809999999999995,0.25705237447355866,1.8073920783563466,9.072174764224268,1180795703.4652052,6.1728221662524305,1488751.3429489995
296.21661,-14.79057,20.060000000000002,18.34,15.447745262583105,C,Whitelock,89.99,1.5809999999999995,0.22258397699097543,1.6694905956614954,9.16051726697213,1447162389.2068129,6.1544403887186965,1427053.9392294274
296.29965,-14.69757,17.96,16.62,14.90700324454838,C,Whitelock,89.99,1.5809999999999995,0.3848693874594553,2.4258804103471543,8.745053490539469,555972730.2792609,5.625699014698677,422375.7876878184
296.28125,-14.67393,19.96,18.21,15.233304309778315,C,Whitelock,89.99,1.5809999999999995,0.278124183767416,1.8972483498525483,9.018167717004113,1042720032.058919,6.145532959162376,1398083.01360057
296.28897,-14.81087,19.73,17.89,15.318016929991488,C,Whitelock,89.99,1.5809999999999995,0.25618361513220433,1.8037801989361517,9.07440139441616,1186865195.3803089,6.173314761860933,1490440.9071999008
296.25732,-14.77645,18.86,17.3,14.96300121761305,C,Whitelock,89.99,1.5809999999999995,0.3570383948463136,2.2752985751136157,8.815910594008898,654501421.3261406,5.8059031273440915,639592.153721919
296.25696,-14.83051,20.1,18.37,15.416219667080114,C,Whitelock,89.99,1.5809999999999995,0.23074910622625033,1.7011754481541215,9.139590040742121,1379081843.5027359,6.165724559545486,1464618.648442286
296.19858,-14.71837,18.91,17.07,14.683983478299277,C,Whitelock,89.99,1.5809999999999995,0.49571021128525894,3.131195695513171,8.466288818617572,292609767.20388573,5.070576317828522,117645.77034265453
296.19682,-14.75119,19.490000000000002,17.43,14.634558237872925,C,Whitelock,89.99,1.5809999999999995,0.520274555777156,3.3134052480131904,8.404509492220452,253810445.9806485,5.042890214572955,110379.95548240149
296.28424,-14.80892,20.3,18.1,14.872353473848975,C,Whitelock,89.99,1.5809999999999995,0.4020903234970592,2.524005654378442,8.701742836404895,503202553.6574792,5.511080952573765,324400.07995046035
296.21631,-14.83196,20.17,18.0,14.627912521044182,C,Whitelock,89.99,1.5809999999999995,0.5235774770410404,3.3387006143101052,8.396202645241782,249001890.9783984,5.041583384423029,110048.31174738091
296.29793,-14.74687,20.2,18.08,14.92970978395556,C,Whitelock,89.99,1.5809999999999995,0.3735842373740854,2.3636558181738963,8.773503599610219,593613268.2804354,5.70021486542901,501435.25532200455
296.25891,-14.88796,16.53,15.44,14.03545021420357,C,Whitelock,89.99,1.5809999999999995,0.6671836589634821,4.647117558112984,8.056626478165473,113926951.93142334,4.611260846066836,40856.470489501655
296.17892,-14.82286,17.32,16.53,16.12,S,Whitelock,89.99,1.1999999999999993,0.14366999999999985,1.3920986105429962,9.36277379,2305545991.306633,5.8544657255964685,715262.9434889951
296.21545,-14.83469,17.25,16.53,16.13,S,Whitelock,89.99,1.120000000000001,0.14268000000000014,1.3889288534865736,9.36531116,2319055594.162293,5.84889360319908,706144.5363530272
296.27341,-14.80861,17.400000000000002,16.62,16.2,S,Whitelock,89.99,1.2000000000000028,0.13575000000000004,1.366941724162319,9.38680825,2436734712.029368,5.812680494304258,649651.5729418665
296.28308,-14.80497,17.26,16.55,16.15,S,Whitelock,89.99,1.110000000000003,0.14070000000000016,1.3826109751987288,9.3711217,2350291338.041395,5.838381976333727,689258.2552139944
296.25427,-14.81764,17.970000000000002,17.25,16.63,S,Whitelock,89.99,1.3400000000000034,0.08166000000000007,1.206868633139588,9.55821946,3615925383.4717565,5.491693713584902,310237.0867711102
296.19156,-14.89296,17.560000000000002,16.85,16.44,S,Whitelock,89.99,1.120000000000001,0.11262999999999979,1.2960746013246576,9.460075530000001,2884533120.926414,5.6830175268495875,481967.24801503756
296.25522,-14.82579,16.62,15.86,15.45,S,Whitelock,89.99,1.1700000000000017,0.22199999999999998,1.6672472125510627,9.162014,1452158428.890141,6.1534731679023595,1423879.2721277808
296.29922,-14.8365,17.67,16.35,14.402426458039397,LAV,Whitelock,89.99,1.5809999999999995,0.5805641931717359,3.806836223805546,8.252881054173084,179011550.48850322,5.039143024792295,109431.6694701584
