,a,b,K validity range (lower limit),K validity range (upper limit)
0,0.62,14.143,,-11.75
1,0.385,11.382,-11.75,-11.35
2,0.189,9.163,-11.35,-10.95
3,0.469,12.221,-10.95,-10.55
4,0.338,10.844,-10.55,-10.25
5,1.247,20.164,-10.25,-9.85
6,0.442,12.227,-9.85,-9.45
7,1.017,17.666,-9.45,-8.85
8,0.563,13.649,-8.85,-8.58
9,0.278,11.202,-8.58,-8.28
10,0.935,16.643,-8.28,-7.98
11,0.687,14.66,-7.98,-7.58
12,0.149,10.584,-7.58,-7.15
13,0.555,13.488,-7.15,-6.85
14,0.274,11.562,-6.85,-6.6
15,0.816,15.143,-6.6,
