,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.7655416667,-7.5561145833,-12.95,-11.75
1,-0.398375,-3.24190625,-11.75,-11.35
2,-0.139875,-0.30793125,-11.35,-10.95
3,-0.2813571429,-1.8571607143,-10.95,-10.25
4,-0.6385,-5.517875,-10.25,-9.85
5,-0.198375,-1.18264375,-9.85,-9.45
6,-0.3614090909,-2.7233159091,-9.45,-8.35
7,-0.13925,-0.8682875,-8.35,-7.95
8,-0.2230555556,-1.5345416667,-7.95,-7.05
9,-0.1089850746,-0.7303447761,-7.05,-6.38
10,-0.2584196429,-1.6837373214,-6.38,-4.14
