Z,a,b,K validity range(lower limit),K validity range(upper limit)
0.0001,-0.2550,-1.2930,,-11.7140
0.0001,-0.1060,0.4540,-11.7140,-11.2470
0.0001,-0.2230,-0.8660,-11.2470,-10.7790
0.0001,-0.6530,-5.4920,-10.7790,-10.3120
0.0001,-0.6760,-5.7350,-10.3120,-9.8450
0.0001,-0.7050,-6.0180,-9.8450,-9.3780
0.0001,-0.2040,-1.3170,-9.3780,-8.9100
0.0001,-0.2240,-1.4980,-8.9100,-8.4430
0.0001,-0.1060,-0.5060,-8.4430,-7.9760
0.0001,-0.1810,-1.0980,-7.9760,-7.5090
0.0001,-0.0990,-0.4810,-7.5090,-7.0420
0.0001,-0.2330,-1.4290,-7.0420,-6.5740
0.0001,-0.1350,-0.7850,-6.5740,-6.1070
0.0001,-0.3430,-2.0530,-6.1070,
0.00015,-0.200,-0.641,,-11.832
0.00015,-0.186,-0.472,-11.832,-11.363
0.00015,-0.267,-1.393,-11.363,-10.894
0.00015,-0.561,-4.598,-10.894,-10.425
0.00015,-0.336,-2.252,-10.425,-9.956
0.00015,-0.989,-8.760,-9.956,-9.487
0.00015,-0.234,-1.589,-9.487,-9.018
0.00015,-0.277,-1.983,-9.018,-8.550
0.00015,-0.093,-0.404,-8.550,-8.081
0.00015,-0.172,-1.048,-8.081,-7.612
0.00015,-0.114,-0.603,-7.612,-7.143
0.00015,-0.207,-1.265,-7.143,-6.674
0.00015,-0.182,-1.100,-6.674,-6.205
0.00015,-0.331,-2.028,-6.205,
0.0003,-0.1070,0.4970,,-11.9840
0.0003,-0.3120,-1.9650,-11.9840,-11.5340
0.0003,-0.2490,-1.2380,-11.5340,-11.0830
0.0003,-0.5200,-4.2390,-11.0830,-10.6330
0.0003,-0.2780,-1.6690,-10.6330,-10.1820
0.0003,-0.6600,-5.5640,-10.1820,-9.7320
0.0003,-0.6020,-4.9930,-9.7320,-9.2810
0.0003,-0.1810,-1.0880,-9.2810,-8.8300
0.0003,-0.3100,-2.2260,-8.8300,-8.3800
0.0003,-0.2250,-1.5140,-8.3800,-7.9290
0.0003,-0.1890,-1.2270,-7.9290,-7.4790
0.0003,-0.0740,-0.3670,-7.4790,-7.0280
0.0003,-0.0660,-0.3100,-7.0280,-6.5780
0.0003,-0.4910,-3.1060,-6.5780,
0.0002,-0.2000,-0.6410,,-11.8320
0.0002,-0.1860,-0.4720,-11.8320,-11.3630
0.0002,-0.2670,-1.3930,-11.3630,-10.8940
0.0002,-0.5610,-4.5980,-10.8940,-10.4250
0.0002,-0.3360,-2.2520,-10.4250,-9.9560
0.0002,-0.9890,-8.7600,-9.9560,-9.4870
0.0002,-0.2340,-1.5890,-9.4870,-9.0180
0.0002,-0.2770,-1.9830,-9.0180,-8.5500
0.0002,-0.0930,-0.4040,-8.5500,-8.0810
0.0002,-0.1720,-1.0480,-8.0810,-7.6120
0.0002,-0.1140,-0.6030,-7.6120,-7.1430
0.0002,-0.2070,-1.2650,-7.1430,-6.6740
0.0002,-0.1820,-1.1000,-6.6740,-6.2050
0.0002,-0.3310,-2.0280,-6.2050,
0.0002,-0.1480,-0.0160,,-11.9310
0.0002,-0.2720,-1.4990,-11.9310,-11.4600
0.0002,-0.3270,-2.1290,-11.4600,-10.9890
0.0002,-0.5280,-4.3310,-10.9890,-10.5180
0.0002,-0.1820,-0.6990,-10.5180,-10.0470
0.0002,-1.0000,-8.9170,-10.0470,-9.5760
0.0002,-0.2740,-1.9590,-9.5760,-9.1050
0.0002,-0.2960,-2.1610,-9.1050,-8.6350
0.0002,-0.1300,-0.7310,-8.6350,-8.1640
0.0002,-0.1380,-0.7910,-8.1640,-7.6930
0.0002,-0.1480,-0.8680,-7.6930,-7.2220
0.0002,-0.1780,-1.0910,-7.2220,-6.7510
0.0002,-0.1840,-1.1260,-6.7510,-6.2800
0.0002,-0.3260,-2.0200,-6.2800,
0.0005,-0.1210,0.3090,,-12.0110
0.0005,-0.2810,-1.6140,-12.0110,-11.5350
0.0005,-0.4430,-3.4750,-11.5350,-11.0600
0.0005,-0.4140,-3.1600,-11.0600,-10.5840
0.0005,-0.2310,-1.2170,-10.5840,-10.1080
0.0005,-0.7290,-6.2590,-10.1080,-9.6320
0.0005,-0.3440,-2.5470,-9.6320,-9.1560
0.0005,-0.1510,-0.7740,-9.1560,-8.6810
0.0005,-0.3540,-2.5380,-8.6810,-8.2050
0.0005,-0.3450,-2.4630,-8.2050,-7.7290
0.0005,-0.0450,-0.1440,-7.7290,-7.2530
0.0005,-0.1220,-0.7100,-7.2530,-6.7780
0.0005,-0.2310,-1.4430,-6.7780,-6.3020
0.0005,-0.1390,-0.8660,-6.3020,
0.0008,-0.1320,0.1840,,-12.0150
0.0008,-0.2370,-1.0860,-12.0150,-11.5520
0.0008,-0.7090,-6.5370,-11.5520,-11.0890
0.0008,-0.2140,-1.0470,-11.0890,-10.6270
0.0008,-0.2780,-1.7300,-10.6270,-10.1640
0.0008,-0.6680,-5.6860,-10.1640,-9.7010
