,Z,a,b,K validity range(lower limit),K validity range(upper limit)
0,0.008,-1.5252380762960736,-16.437038734727455,-11.924500904180931,-11.689
1,0.008,-0.2299554356210561,-1.2964799478771756,-11.689,-10.593
2,0.008,-0.36543924174377496,-2.7316599061351363,-10.593,-10.331
3,0.008,-0.2082984671287936,-1.1082385635877636,-10.331,-10.055
4,0.008,-0.44015118244605017,-3.439517616102779,-10.055,-9.645873332519843
5,0.008,-0.5996807456172089,-4.978319575243998,-9.645873332519843,-9.459
6,0.008,-0.22204219958507934,-1.4062365683260847,-9.459,-9.178
7,0.008,-0.3743819685900376,-2.804410968253592,-9.178,-9.019
8,0.008,-0.46609591262149447,-3.6315790294733015,-9.019,-8.858
9,0.008,-0.34175509906026236,-2.5301681029479073,-8.858,-8.601
10,0.008,-0.2672218802922044,-1.8891078883238406,-8.601,-8.271
11,0.008,-0.3223285563232505,-2.344895205776623,-8.271,-7.657
12,0.008,-0.23316489567382823,-1.6621690561839966,-7.657,-7.456
13,0.008,-0.14219479724553535,-0.983896002302645,-7.456,-7.256
14,0.008,-0.1721400793562978,-1.2011789692983372,-7.256,-7.008
15,0.008,-0.08194075154660507,-0.5690620800080107,-7.008,-6.66
