Z,a,b,M validity range (lower limit),M validity range (upper limit)
0.0001,-3.2020,9.7620,,0.1240
0.0001,-2.6980,9.7000,0.1240,0.3660
0.0001,-2.3590,9.5750,0.3660,0.6080
0.0001,-1.9860,9.3490,0.6080,0.8500
0.0001,-1.6760,9.0850,0.8500,1.0910
0.0001,-1.2500,8.6210,1.0910,1.3330
0.0001,-0.8730,8.1180,1.3330,1.5750
0.0001,-0.6030,7.6930,1.5750,
0.0120,-3.2660,10.0190,,0.1860
0.0120,-2.4990,9.8760,0.1860,0.4080
0.0120,-2.8980,10.0390,0.4080,0.6300
0.0120,-2.2800,9.6500,0.6300,0.8520
0.0120,-1.7710,9.2160,0.8520,1.0740
0.0120,-1.3870,8.8030,1.0740,1.2960
0.0120,-1.0800,8.4050,1.2960,1.5190
0.0120,-0.7790,7.9490,1.5190,
0.0100,-3.2560,9.9930,,0.1790
0.0100,-2.4820,9.8520,0.1790,0.4030
0.0100,-2.8650,10.0070,0.4030,0.6260
0.0100,-2.2720,9.6350,0.6260,0.8500
0.0100,-1.8520,9.2780,0.8500,1.0730
0.0100,-1.5310,8.7400,1.0730,1.2970
0.0100,-0.9550,8.2270,1.2970,1.5200
0.0100,-0.8190,8.0200,1.5200,
0.0080,-3.2630,9.9650,,0.1720
0.0080,-2.4850,9.8300,0.1720,0.3980
0.0080,-2.8170,9.9620,0.3980,0.6230
0.0080,-2.2260,9.5940,0.6230,0.8490
0.0080,-1.8310,9.2580,0.8490,1.0740
0.0080,-1.3540,8.7460,1.0740,1.3000
0.0080,-0.9080,8.1660,1.3000,1.5250
0.0080,-0.8010,8.0040,1.5250,
0.0002,-3.2050,9.7640,,0.1250
0.0002,-2.6720,9.6980,0.1250,0.3670
0.0002,-2.3680,9.5860,0.3670,0.6090
0.0002,-1.9960,9.3590,0.6090,0.8510
0.0002,-1.6760,9.0870,0.8510,1.0930
0.0002,-1.2490,8.6200,1.0930,1.3350
0.0002,-0.8710,8.1170,1.3350,1.5760
0.0002,-0.6010,7.6910,1.5760,
0.0002,-3.2090,9.7660,,0.1260
0.0002,-2.6450,9.6950,0.1260,0.3680
0.0002,-2.3770,9.5960,0.3680,0.6100
0.0002,-2.0060,9.3700,0.6100,0.8520
0.0002,-1.6750,9.0880,0.8520,1.0940
0.0002,-1.2480,8.6200,1.0940,1.3360
0.0002,-0.8700,8.1160,1.3360,1.5780
0.0002,-0.5990,7.6880,1.5780,
0.0003,-3.2020,9.7720,,0.1280
0.0003,-2.6290,9.6990,0.1280,0.3700
0.0003,-2.3940,9.6120,0.3700,0.6120
0.0003,-2.0070,9.3750,0.6120,0.8540
0.0003,-1.6810,9.0960,0.8540,1.0960
0.0003,-1.2490,8.6230,1.0960,1.3380
0.0003,-0.8690,8.1150,1.3380,1.5790
0.0003,-0.5980,7.6880,1.5790,
0.0005,-3.1780,9.7770,,0.1300
0.0005,-2.6080,9.7030,0.1300,0.3720
0.0005,-2.4150,9.6310,0.3720,0.6140
0.0005,-2.0200,9.3890,0.6140,0.8560
0.0005,-1.6830,9.1010,0.8560,1.0980
0.0005,-1.2470,8.6220,1.0980,1.3400
0.0005,-0.8660,8.1110,1.3400,1.5820
