Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R
296.18398,-14.78018,18.23,17.51,17.12,O,Whitelock,
296.25229,-14.78475,17.49,16.54,16.08,O,Whitelock,
296.20415,-14.63486,16.58,15.91,15.46,O,Whitelock,
296.22364,-14.77473,16.44,15.58,15.13,O,Whitelock,
296.21816,-14.88035,16.3,15.53,15.09,O,Whitelock,
296.21322,-14.68097,16.35,15.55,15.07,O,Whitelock,
296.25088,-14.76786,15.5,14.68,14.19,O,Whitelock,
296.18801,-14.87231,15.88,15.19,14.68,O,Whitelock,
296.26702,-14.76311,15.46,14.67,14.18,O,Whitelock,
296.21293,-14.73224,13.72,12.97,12.57,O,Whitelock,
296.20389,-14.75535,18.03,17.11,16.59,C,Whitelock,
296.23639,-14.83054,17.7,16.76,16.04,C,Whitelock,
296.18011,-14.71067,17.88,16.89,16.39,C,Whitelock,
296.28567,-14.73952,18.01,17.04,16.39,C,Whitelock,
296.21027,-14.75973,17.89,16.91,16.29,C,Whitelock,
296.18048,-14.80431,18.2,16.91,15.94,C,Whitelock,
296.17438,-14.83893,18.58,17.16,16.11,C,Whitelock,
296.29065,-14.69641,17.8,16.82,16.14,C,Whitelock,
296.17703,-14.71031,17.84,16.76,16.02,C,Whitelock,
296.21802,-14.92573,17.67,16.56,15.86,C,Whitelock,
296.23352,-14.80653,17.87,16.61,15.62,C,Whitelock,
296.27563,-14.74923,19.93,18.27,16.57,C,Whitelock,
296.19489,-14.82267,18.1,16.85,15.86,C,Whitelock,
296.17468,-14.79389,18,16.75,15.88,C,Whitelock,
296.30014,-14.87872,18.37,17.07,15.88,C,Whitelock,
296.22632,-14.72554,18.04,16.71,15.66,C,Whitelock,
296.19647,-14.70265,18.21,16.6,15.31,C,Whitelock,
296.30347,-14.74166,18.7,17.18,15.98,C,Whitelock,
296.17462,-14.78854,18.42,17.09,16.03,C,Whitelock,
296.19916,-14.8616,20.21,18.61,16.99,C,Whitelock,
296.21259,-14.80142,18.38,16.9,15.79,C,Whitelock,
296.18277,-14.74815,18.03,16.62,15.59,C,Whitelock,
296.21729,-14.77647,18.37,16.99,15.78,C,Whitelock,
296.22229,-14.90997,18.95,17.42,16.28,C,Whitelock,
296.22934,-14.65254,17.98,16.59,15.56,C,Whitelock,
296.24048,-14.84939,19.1,17.38,15.96,C,Whitelock,
296.29919,-14.69143,17.56,16.22,15.16,C,Whitelock,
296.17957,-14.77527,18.02,16.56,15.45,C,Whitelock,
296.24246,-14.91158,18.95,17.21,15.86,C,Whitelock,
296.23649,-14.85697,19.18,17.73,16.32,C,Whitelock,
296.22876,-14.79337,18.75,17.25,15.93,C,Whitelock,
296.2464,-14.73473,19.15,17.32,15.77,C,Whitelock,
296.24295,-14.83836,18.4,17.06,15.88,C,Whitelock,
296.26687,-14.74039,18.41,16.86,15.51,C,Whitelock,
296.23883,-14.87026,19.49,17.5,15.82,C,Whitelock,
296.26569,-14.72024,19.78,17.78,16.16,C,Whitelock,
296.21774,-14.78943,19.12,17.42,15.9,C,Whitelock,
296.29114,-14.6977,19.24,17.62,16.03,C,Whitelock,
296.21661,-14.79057,20.26,18.34,16.43,C,Whitelock,
296.29965,-14.69757,18.16,16.62,15.42,C,Whitelock,
296.28125,-14.67393,20.16,18.21,16.25,C,Whitelock,
296.28897,-14.81087,19.93,17.89,16.24,C,Whitelock,
296.25732,-14.77645,19.06,17.3,15.73,C,Whitelock,
296.25696,-14.83051,20.3,18.37,16.42,C,Whitelock,
296.19858,-14.71837,19.11,17.07,15.55,C,Whitelock,
296.19682,-14.75119,19.69,17.43,15.69,C,Whitelock,
296.28424,-14.80892,20.5,18.1,16.1,C,Whitelock,
296.21631,-14.83196,20.37,18,15.89,C,Whitelock,
296.29793,-14.74687,20.4,18.08,16.11,C,Whitelock,
296.25891,-14.88796,16.73,15.44,14.45,C,Whitelock,
296.17892,-14.82286,17.52,16.53,16.19,S,Whitelock,
296.21545,-14.83469,17.45,16.53,16.2,S,Whitelock,
296.27341,-14.80861,17.6,16.62,16.27,S,Whitelock,
296.28308,-14.80497,17.46,16.55,16.22,S,Whitelock,
296.25427,-14.81764,18.17,17.25,16.7,S,Whitelock,
296.19156,-14.89296,17.76,16.85,16.51,S,Whitelock,
296.25522,-14.82579,16.82,15.86,15.52,S,Whitelock,
296.29922,-14.8365,17.87,16.35,14.98,LAV,Whitelock,
296.19168,-14.82965,18.32,16.8,15.67,LAV,Whitelock,
296.28415,-14.81194,17.33,15.94,15.04,LAV,Whitelock,
296.23456,-14.7733,18,16.56,15.48,LAV,Whitelock,
296.20154,-14.81282,19.18,17.3,15.91,LAV,Whitelock,
296.18323,-14.76308,18.39,16.94,15.82,LAV,Whitelock,
296.27222,-14.76143,18.09,16.73,15.62,LAV,Whitelock,
296.22778,-14.76111,18.35,17.01,16.18,LAV,Whitelock,
296.27774,-14.82287,18.46,17.17,16.13,LAV,Whitelock,
296.24905,-14.81619,17.49,16.92,15.98,LAV,Whitelock,
296.25348,-14.76936,18.38,16.83,15.54,LAV,Whitelock,
296.24728,-14.76419,18.94,17.79,16.8,LAV,Whitelock,
296.24246,-14.82114,19.99,18.4,16.77,LAV,Whitelock,
296.17993,-14.75767,19.23,17.44,15.98,LAV,Whitelock,
296.27051,-14.73481,19.39,17.7,16.08,LAV,Whitelock,
296.18378,-14.68249,19.57,17.64,16.06,LAV,Whitelock,
296.2677,-14.68061,19.6,17.6,16.3,LAV,Whitelock,
296.17764,-14.6424,18.63,17.47,16.42,LAV,Whitelock,
296.26511,-14.96155,18.07,17.09,16.45,LAV,Whitelock,
296.21112,-14.91074,19.46,17.55,16.25,LAV,Whitelock,
296.30179,-14.90356,19.75,17.75,15.96,LAV,Whitelock,
296.18011,-14.75091,17.02,16.27,15.81,LAV,Whitelock,
296.22681,-14.75065,17.13,15.92,15.11,LAV,Whitelock,
296.23346,-14.74996,17.71,16.93,16.52,LAV,Whitelock,
296.24622,-14.86655,17.98,16.67,15.79,LAV,Whitelock,
296.26105,-14.73764,18.29,16.78,15.38,LAV,Whitelock,
296.2731,-14.75146,17.31,16.57,15.96,LAV,Whitelock,
296.22696,-14.80191,14.48,13.66,13.34,RSG,Whitelock,
296.24005,-14.80796,14.74,13.94,13.66,RSG,Whitelock,
296.24301,-14.74652,14.1,13.3,12.99,RSG,Whitelock,
296.22287,-14.71018,17.6,16.76,16.37,Ce  ,Sibbons,
296.22888,-14.72012,17.5,16.56,16.3,Ce  ,Sibbons,
