Tab,Reg,f_ID,ID,n_ID,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,phT,n_phT,Dist,spT,spTK,spTD,[LDB2002],PapI,SimbadName
 , , , , ,deg,deg,mag,mag,mag, , ,kpc, , , , , ,
--,-,-,------,---,----------,----------,-----,-----,-----,-,-,-----,----,-----,-------,---,----,------------------------------
4,i, ,173834,   ,296.22287,-14.71018,17.6,16.76,16.37,C,*,0.8,Ce  ,C    ,C      ,390,PapI,[SRC2012] 296.222870-14.710189
4,i, ,176619,   ,296.22888,-14.72012,17.5,16.56,16.3,M, ,0.71,Ce  ,C3.2 ,C      ,431,PapI,[SRC2012] 296.228973-14.720121
4,i, ,179746,   ,296.22033,-14.72841,18.26,17.25,17.15,M, ,0.65,Ce  ,C3.2 ,S      ,370,PapI,[SRC2012] 296.220337-14.728414
4,i, ,181364,   ,296.12738,-14.73369,17.56,16.81,16.41,M, ,1.09,Ce  ,C8.2e,C      ,96,PapI,[SRC2012] 296.127411-14.733698
4,i, ,182253,   ,296.31088,-14.73645,17.18,16.31,15.91,C,*,0.83,Ce  ,C    ,C      ,769,PapI,[LDB2002]  769
4,i, ,183545,   ,296.28564,-14.74075,16.67,15.62,15.09,C,*,0.67,Ce: ,C5.5 ,C      ,701,PapI,[SRC2012] 296.285645-14.740756
4,i, ,194386,   ,296.18609,-14.7787,16.72,15.9,15.54,M, ,0.47,Ce  ,C    ,C      ,228,PapI,[SRC2012] 296.186096-14.778706
4,i, ,196632,   ,296.24578,-14.7865,17.58,16.73,16.46,M, ,0.16,Ce: ,dK7  ,K0III  ,513,PapI,[SRC2012] 296.245636-14.786511
4,i, ,199930,   ,296.23651,-14.79789,17.25,16.52,16.22,M, ,0.05,Ce  ,dK7  ,K0III  ,474,PapI,[SRC2012] 296.236389-14.797890
4,i, ,219171,   ,296.22512,-14.86821,17.31,16.58,16.32,M, ,0.57,Ce  ,C8.2e,K0III  ,407,PapI,[SRC2012] 296.225128-14.868211
4,i, ,220391,   ,296.21267,-14.87307,17.66,16.8,16.47,M, ,0.63,Ce  ,C    ,C      ,328,PapI,[SRC2012] 296.212524-14.873075
10,i,*,157078,   ,296.117004,-14.632751,16.46,15.59,15.26,M, ,1.77,C:  ,C5.5 ,C      ,87,PapI,[SRC2012] 296.117004-14.632755
10,i,*,165127,   ,296.233887,-14.671288,17.14,16.26,16.01,M, ,1.13,C   ,C3.2 ,C      ,459,PapI,[SRC2012] 296.233917-14.671287
10,i,*,167938,   ,296.259827,-14.684196,17.31,16.47,16.21,M,*,1.03,C   ,C5.5 ,C      ,586,PapI,[SRC2012] 296.259827-14.684197
10,i,*,168284,   ,296.411377,-14.685686,17.47,16.58,16.11,C,*,1.75,C:  ,C3.2 ,C      ,867,PapI,[LDB2002]  867
10,i,*,168690,   ,296.156006,-14.687428,17.31,16.25,15.68,C,*,1.2,Ce: ,M1III,K4III  ,137,PapI,[LDB2002]  137
10,i,*,168826,4,296.179413,-14.688039,17.24,16.35,16.08,M, ,1.1,C   ,C3.2 ,S      ,206,PapI,[SRC2012] 296.179321-14.688039
10,i,*,169202,   ,296.248596,-14.689795,17.26,16.43,16.11,M, ,0.97,C   ,C3.2 ,S      ,531,PapI,[SRC2012] 296.248596-14.689797
10,i,*,170941,   ,296.286774,-14.697333,17.18,16.4,16.17,M,*,0.99,dK  ,dK7  ,K4III  ,704,PapI,[LDB2002]  704
10,i,*,173114,   ,296.33078,-14.707144,15.97,15.27,14.94,M,*,1.13,dM: ,dM0  ,M0V    ,799,PapI,[LDB2002]  799
10,i,*,176863,   ,296.350922,-14.720666,17.05,16.13,15.75,C,*,1.17,C   ,C6.5 ,S      ,827,PapI,[LDB2002]  827
10,i,*,180514,   ,296.375854,-14.73088,16.15,15.33,15.03,M, ,1.3,C   ,C3.2 ,C      ,847,PapI,[SRC2012] 296.375854-14.730880
10,i,*,184448,   ,296.436554,-14.743853,17.45,16.68,16.56,M,*,1.72,C   ,C5.5 ,C      ,877,PapI,[SRC2012] 296.436554-14.743853
10,i,*,186430,   ,296.234741,-14.750431,17.23,16.46,16.24,M, ,0.45,Uncl,dK7  ,K0III  ,464,PapI,[SRC2012] 296.234741-14.750436
10,i,*,188246,4,296.485382,-14.756809,16.74,15.93,15.63,M, ,2.09,C:  ,C3.2 ,C      ,893,PapI,[SRC2012] 296.485535-14.756814
10,i,*,188974,2,296.131714,-14.759347,17.37,16.47,16.18,M, ,0.95,Ce  ,C    ,C      ,100,PapI,[SRC2012] 296.131653-14.759347
10,i,*,193714,   ,296.112915,-14.776258,17.35,16.46,15.92,C,*,1.06,C   ,C5.5 ,C      ,84,PapI,[LDB2002]   84
10,i,*,197170,   ,296.152313,-14.788395,17.14,16.3,15.98,M, ,0.72,Ce  ,C3.2 ,C      ,128,PapI,[SRC2012] 296.152283-14.788395
10,i,*,197464,   ,296.283356,-14.789384,17.47,16.75,16.45,M, ,0.4,C   ,C5.5 ,K0III  ,693,PapI,[SRC2012] 296.283356-14.789384
10,i,*,197590,   ,296.319458,-14.789786,16.99,16.07,15.58,C,*,0.69,M:  ,M1III,M0III  ,788,PapI,[LDB2002]  788
10,i,*,199974,   ,296.374786,-14.798067,17.73,16.79,16.55,M, ,1.14,C   ,C3.2 ,C      ,846,PapI,[SRC2012] 296.374847-14.798067
10,i,*,200182,   ,296.170349,-14.798781,17.4,16.44,15.76,C,*,0.56,Ce  ,C5.5 ,C      ,178,PapI,[LDB2002]  178
10,i,*,201043,   ,296.073059,-14.801702,17.62,16.74,16.46,M, ,1.36,C   ,C3.2 ,C      ,40,PapI,[SRC2012] 296.073059-14.801702
10,i,*,201131,   ,296.160095,-14.802064,17.38,16.61,16.35,M, ,0.64,C   ,C3.2 ,K3III  ,149,PapI,[SRC2012] 296.160095-14.802064
10,i,*,203106,   ,296.338257,-14.808908,17.41,16.5,16.05,C,*,0.83,C:  ,C5.5 ,C      ,810,PapI,[SRC2012] 296.338257-14.808908
10,i,*,206129,1,296.238953,-14.8196,17.84,17.06,16.83,M, ,0.14,dKe:,dK7  ,K0III  ,486,PapI,[SRC2012] 296.238953-14.819600
10,i,*,208620,   ,296.100708,-14.828527,16.72,15.96,15.64,M, ,1.15,C   ,C3.2 ,C      ,66,PapI,[SRC2012] 296.100708-14.828527
10,i,*,209650,2,296.129822,-14.832311,17.56,16.74,16.49,M, ,0.92,C   ,C3.2 ,C      ,99,PapI,[SRC2012] 296.129822-14.832311
10,i,*,209652,2,296.084503,-14.832314,17.5,16.6,16.15,C,*,1.29,C:  ,C5.5 ,S      ,50,PapI,[SRC2012] 296.084595-14.832314
10,i,*,210316,   ,296.434357,-14.834667,17.48,16.72,16.32,M, ,1.65,C:  ,C5.5 ,C      ,875,PapI,[SRC2012] 296.434357-14.834672
10,i,*,211898,   ,296.30838,-14.840508,17.25,16.46,16.08,M, ,0.67,C   ,C3.2 ,C      ,764,PapI,[SRC2012] 296.308472-14.840510
10,i,*,215861,   ,296.173828,-14.855554,17.84,16.97,16.65,M, ,0.69,Ce  ,C    ,C      ,189,PapI,[SRC2012] 296.173828-14.855554
10,i,*,216688,   ,296.080383,-14.858717,16.31,15.7,15.29,M,*,1.38,C:  ,K7III,M0III  ,46,PapI,[LDB2002]   46
10,i,*,219351,   ,296.28244,-14.868937,17.48,16.72,16.55,M, ,0.67,Ce  ,C3.2 ,C      ,690,PapI,[SRC2012] 296.282440-14.868937
10,i,*,220153,   ,296.236908,-14.87212,18.02,17.07,16.82,M, ,0.59,Ce  ,C3.2 ,C      ,477,PapI,[SRC2012] 296.236908-14.872120
10,i,*,222468,   ,296.096558,-14.8814,17.98,17.19,17.03,M, ,1.34,C   ,C5.5 ,C      ,63,PapI,[SRC2012] 296.096558-14.881400
10,i,*,223056,   ,296.261414,-14.883708,17.94,17.07,16.79,M, ,0.72,Ce  ,C3.2 ,C      ,598,PapI,[SRC2012] 296.261261-14.883708
10,i,*,224407,   ,296.431213,-14.889406,17.33,16.48,16.18,M, ,1.76,C:  ,C5.5 ,C      ,873,PapI,[SRC2012] 296.431213-14.889411
10,i,*,225648,4,296.163086,-14.894488,16.75,15.88,15.44,C,*,0.99,C   ,C5.5 ,C      ,158,PapI,[SRC2012] 296.163116-14.894491
10,i,*,226603,4,296.118591,-14.89873,16.89,16.03,15.73,M, ,1.28,C   ,C5.5 ,C      ,88,PapI,[SRC2012] 296.118591-14.898730
10,i,*,228306,4,296.251007,-14.9064,17.96,17.09,16.77,M, ,0.89,Ce  ,C    ,C      ,542,PapI,[SRC2012] 296.251007-14.906405
10,i,*,229643,   ,296.35376,-14.912353,17.22,16.35,15.96,C,*,1.34,C   ,C3.2 ,C      ,830,PapI,[LDB2002]  830
10,i,*,231793,   ,296.223907,-14.922441,17.22,16.33,15.81,C,*,1.03,C   ,C5.5 ,C      ,396,PapI,[SRC2012] 296.223999-14.922442
10,i,*,233186,   ,296.157745,-14.929084,     ,16.62,16.12,U,*,1.26,Uncl,dK7  ,K0III  ,140,PapI,[SRC2012] 296.157837-14.929084
10,i,*,239630,   ,296.332458,-14.951111,17.76,16.91,16.48,C,*,1.49,C:  ,C5.5 ,C      ,800,PapI,[LDB2002]  800
