Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,94208,296.349976,-14.828187,0.112153,19.772,17.877,17.045,16.898,M  ,M1III   ,4,1,Simbad
sp,94979,296.357117,-14.834526,0.120605,19.509,17.528,16.72,16.515,Mca,M1III   ,4,1,Simbad
sp,96968,296.337067,-14.850516,0.107354,18.978,16.924,16.08,15.693,C  ,C5.5    ,5,2,Simbad
sp,97590,296.354126,-14.855531,0.12492,19.406,17.334,16.521,16.218,M  ,C5.5    ,5,1,Simbad
sp,98478,296.306183,-14.863027,0.088624,23.062,17.451,16.284,15.489,C  ,--      ,4,1,Simbad
sp,99641,296.369537,-14.872893,0.146467,20.196,17.025,15.971,15.317,C  ,C6.5    ,5,1,Simbad
sp,100035,296.289734,-14.876258,0.087858,17.078,17.404,16.537,15.991,C  ,--      ,4,2,Simbad
sp,101911,296.260742,-14.892557,0.091377,20.645,17.952,17.153,16.985,M  ,M       ,4,1,Simbad
sp,77311,296.316101,-14.679276,0.145314,19.438,17.443,16.601,16.179,C  ,C6.5    ,5,1,Simbad
sp,79509,296.371155,-14.703938,0.164152,20.219,18.079,17.198,16.991,M  ,M1III   ,5,1,Simbad
sp,83906,296.343781,-14.74656,0.117824,21.667,17.437,16.532,16.128,C  ,C5.5    ,5,1,Simbad
sp,85530,296.363739,-14.759742,0.130669,23.344,16.528,15.565,14.986,C  ,C5.5    ,5,1,Simbad
sp,85885,296.374664,-14.762603,0.140152,22.981,17.504,16.586,16.355,M  ,M4III   ,5,1,Simbad
sp,88539,296.313934,-14.783896,0.075901,22.971,17.388,16.359,15.668,C  ,C5.5    ,4,1,Simbad
sp,77230,296.193542,-14.678253,0.133726,20.206,17.488,16.498,16.071,C  ,C5.5    ,5,1,Simbad
sp,78095,296.179352,-14.688039,0.130633,19.813,17.241,16.35,16.076,M  ,C5.5    ,5,1,Simbad
sp,78871,296.210236,-14.696464,0.111189,21.556,16.949,16.337,15.919,M  ,dM5 e   ,5,1,Simbad
sp,79224,296.187653,-14.700607,0.11565,21.826,17.792,17.073,16.777,M  ,M6.5III ,5,1,Simbad
sp,79511,296.166718,-14.703956,0.123904,20.233,17.724,16.89,16.697,M  ,M1III   ,4,1,Simbad
sp,80764,296.184784,-14.717754,0.102248,20.28,17.435,16.459,16.039,C  ,C5.5    ,5,1,Simbad
sp,81015,296.148743,-14.720551,0.123712,20.331,18.06,17.254,17.066,M  ,M1III   ,5,1,Simbad
sp,81290,296.138214,-14.72313,0.130111,20.327,17.227,16.188,15.542,C  ,C6.5    ,5,1,Simbad
sp,82246,296.173828,-14.731837,0.097891,20.061,17.335,16.543,16.299,M  ,M4III   ,6,1,Simbad
sp,83467,296.204193,-14.742633,0.070859,18.691,15.048,14.173,13.874,M  ,M6III   ,6,1,Simbad
sp,83752,296.171265,-14.745203,0.090533,20.5,18.02,17.228,16.97,M  ,C5.5    ,5,1,Simbad
sp,84020,296.185242,-14.747572,0.078635,23.015,17.622,16.799,16.588,M  ,dM      ,5,1,Simbad
sp,85975,296.197662,-14.763362,0.058722,20.414,17.175,16.255,15.536,C  ,C5.5    ,5,1,Simbad
sp,86798,296.208893,-14.769947,0.046106,24.466,17.025,16.201,15.758,C  ,C6.5    ,5,1,Simbad
sp,88152,296.199615,-14.7809,0.04676,20.389,18.414,17.421,17.201,C  ,M2III   ,5,1,Simbad
sp,88716,296.206879,-14.785284,0.038284,19.733,18.082,17.209,17.074,M  ,C5.5    ,5,1,Simbad
sp,93532,296.178833,-14.822721,0.0647,20.139,17.33,16.475,16.21,M  ,SIII    ,5,1,Simbad
sp,93858,296.180084,-14.825297,0.064336,19.755,17.231,16.366,15.897,C  ,C5.5    ,6,1,Simbad
sp,94446,296.212219,-14.830112,0.038947,20.872,17.27,16.343,16.036,Cca,C8.2    ,5,1,Simbad
sp,94947,296.173828,-14.834276,0.073544,20.655,18.015,17.151,16.987,Mca,M1III   ,5,1,Simbad
sp,95293,296.160797,-14.836968,0.086555,20.626,18.027,17.37,17.092,Mca,dM3     ,6,1,Simbad
sp,95728,296.212219,-14.840272,0.0465,20.195,17.982,17.22,16.969,Mca,M1III   ,5,1,Simbad
sp,96027,296.194489,-14.842676,0.060544,20.11,17.014,16.111,15.568,C  ,C5.5    ,6,1,Simbad
sp,96655,296.202057,-14.847754,0.058732,20.336,17.178,16.174,15.577,Cca,C5.5    ,6,1,Simbad
sp,97310,296.164886,-14.853178,0.090587,20.933,17.217,16.028,15.151,C  ,C5.5 e  ,5,1,Simbad
