Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,0.07899999999999985,1.1994993031493784,9.509042,3228806359.872826,5.050848211852364,112421.19874431586
296.25229,-14.78475,17.29,16.54,15.932479999999996,O,Whitelock,89.99,1.0759999999999987,0.2626711200000005,1.8309273832104054,8.991313318239998,980196885.4964188,5.353650441226363,225761.7907313985
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.3483599999999998,2.2302831332497006,8.76012472,575605214.9959745,5.327790205482744,212711.12546999828
296.22364,-14.77473,16.240000000000002,15.58,15.02048,O,Whitelock,89.99,1.0759999999999987,0.38752911999999995,2.4407827201558594,8.66081880592,457950783.0130188,5.337058324761922,217299.29872884514
296.21816,-14.88035,16.1,15.53,15.018479999999998,O,Whitelock,89.99,1.0759999999999987,0.38774112000000005,2.441974474308635,8.66031869792,457423737.3227036,5.337172560737412,217356.4642315936
296.21322,-14.68097,16.150000000000002,15.55,14.971879999999999,O,Whitelock,89.99,1.0759999999999987,0.40109888000000016,2.5182502167305625,8.62880774208,425410046.57543725,5.3446987754756705,221156.02501689125
296.25088,-14.76786,15.3,14.68,14.080479999999998,O,Whitelock,89.99,1.0759999999999987,0.5943820800000001,3.929905253045754,8.17285267328,148885592.40002567,5.209063890387765,161831.80958500586
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.4821599999999999,3.0350091169307643,8.43758456,273895287.4539311,5.37660260160384,238014.05401800168
296.26702,-14.76311,15.260000000000002,14.67,14.081879999999998,O,Whitelock,89.99,1.0759999999999987,0.5940964800000001,3.9273217250047967,8.173526403679999,149116741.07844105,5.209955133017257,162164.25567382283
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.57585,37.65737125675281,6.74276245,5530475.210394344,3.0003521236042814,1000.8111233448731
