Tab( ),Reg( ),f_ID( ),ID( ),n_ID( ),RAJ2000(deg),DEJ2000(deg),Jmag(mag),Hmag(mag),Kmag(mag),phT( ),n_phT( ),Dist(kpc),spT( ),spTK( ),spTD( ),[LDB2002]( ),R-I(mag),CN-TiO(mag),S/N( ),PapI( ),SimbadName( ),recno()
4.0,i, ,173834.0,   ,296.22287,-14.71018,17.6,16.76,16.37,C,*,0.8,Ce  ,C    ,C      ,390.0,1.338,0.503,12.0,PapI,[SRC2012] 296.222870-14.710189,1.0
4.0,i, ,176619.0,   ,296.22888,-14.72012,17.5,16.56,16.3,M, ,0.71,Ce  ,C3.2 ,C      ,431.0,1.316,0.405,14.0,PapI,[SRC2012] 296.228973-14.720121,2.0
4.0,i, ,179746.0,   ,296.22033,-14.72841,18.26,17.25,17.15,M, ,0.65,Ce  ,C3.2 ,S      ,370.0,1.265,0.404,11.0,PapI,[SRC2012] 296.220337-14.728414,3.0
4.0,i, ,181364.0,   ,296.12738,-14.73369,17.56,16.81,16.41,M, ,1.09,Ce  ,C8.2e,C      ,96.0,1.171,0.311,12.0,PapI,[SRC2012] 296.127411-14.733698,4.0
4.0,i, ,182253.0,   ,296.31088,-14.73645,17.18,16.31,15.91,C,*,0.83,Ce  ,C    ,C      ,769.0,1.226,0.661,11.0,PapI,[LDB2002]  769                ,5.0
4.0,i, ,183545.0,   ,296.28564,-14.74075,16.67,15.62,15.09,C,*,0.67,Ce: ,C5.5 ,C      ,701.0,1.577,0.509,12.0,PapI,[SRC2012] 296.285645-14.740756,6.0
4.0,i, ,194386.0,   ,296.18609,-14.7787,16.72,15.9,15.54,M, ,0.47,Ce  ,C    ,C      ,228.0,1.337,0.472,19.0,PapI,[SRC2012] 296.186096-14.778706,7.0
4.0,i, ,196632.0,   ,296.24578,-14.7865,17.58,16.73,16.46,M, ,0.16,Ce: ,dK7  ,K0III  ,513.0,1.179,0.399,23.0,PapI,[SRC2012] 296.245636-14.786511,8.0
4.0,i, ,199930.0,   ,296.23651,-14.79789,17.25,16.52,16.22,M, ,0.05,Ce  ,dK7  ,K0III  ,474.0,1.148,0.475,31.0,PapI,[SRC2012] 296.236389-14.797890,9.0
4.0,i, ,219171.0,   ,296.22512,-14.86821,17.31,16.58,16.32,M, ,0.57,Ce  ,C8.2e,K0III  ,407.0,1.122,0.403,11.0,PapI,[SRC2012] 296.225128-14.868211,10.0
4.0,i, ,220391.0,   ,296.21267,-14.87307,17.66,16.8,16.47,M, ,0.63,Ce  ,C    ,C      ,328.0,1.156,0.59,13.0,PapI,[SRC2012] 296.212524-14.873075,11.0
4.0,o, ,22972.0,   ,295.98809,-13.95111,18.11,17.36,17.12,M, ,7.57,dMe:,dM0  ,M0V    ,   ,      ,      ,10.0,PapI,[SRC2012] 295.988098-13.951114,12.0
4.0,o, ,30076.0,   ,295.96771,-13.98843,17.87,17.09,16.91,M, ,7.32,dMe ,dM0  ,M0V    ,   ,      ,      ,14.0,PapI,[SRC2012] 295.967712-13.988434,13.0
4.0,o, ,76159.0,   ,295.95544,-14.21816,18.09,17.36,17.22,M, ,5.52,dMe:,dM1.5,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.955444-14.218166,14.0
4.0,o, ,87125.0,   ,295.95578,-14.27512,18.01,17.29,17.19,M, ,5.08,Uncl,dK7  ,K3III  ,   ,      ,      ,12.0,PapI,[SRC2012] 295.955780-14.275125,15.0
10.0,i,*,157078.0,   ,296.117004,-14.632751,16.46,15.59,15.26,M, ,1.77,C:  ,C5.5 ,C      ,87.0,1.177,0.371,21.0,PapI,[SRC2012] 296.117004-14.632755,16.0
10.0,i,*,165127.0,   ,296.233887,-14.671288,17.14,16.26,16.01,M, ,1.13,C   ,C3.2 ,C      ,459.0,1.102,0.356,12.0,PapI,[SRC2012] 296.233917-14.671287,17.0
10.0,i,*,167638.0,   ,295.968842,-14.682981,16.82,16.02,15.68,M,*,2.45,C   ,C5.5 ,C      ,3.0,1.214,0.469,12.0,PapI,[LDB2002]    3                ,18.0
10.0,i,*,167938.0,   ,296.259827,-14.684196,17.31,16.47,16.21,M,*,1.03,C   ,C5.5 ,C      ,586.0,1.14,0.318,14.0,PapI,[SRC2012] 296.259827-14.684197,19.0
10.0,i,*,168284.0,   ,296.411377,-14.685686,17.47,16.58,16.11,C,*,1.75,C:  ,C3.2 ,C      ,867.0,1.174,0.395,11.0,PapI,[LDB2002]  867                ,20.0
10.0,i,*,168690.0,   ,296.156006,-14.687428,17.31,16.25,15.68,C,*,1.2,Ce: ,M1III,K4III  ,137.0,1.506,0.426,10.0,PapI,[LDB2002]  137                ,21.0
10.0,i,*,168826.0,4.0,296.179413,-14.688039,17.24,16.35,16.08,M, ,1.1,C   ,C3.2 ,S      ,206.0,1.142,0.366,10.0,PapI,[SRC2012] 296.179321-14.688039,22.0
10.0,i,*,169202.0,   ,296.248596,-14.689795,17.26,16.43,16.11,M, ,0.97,C   ,C3.2 ,S      ,531.0,1.295,0.364,13.0,PapI,[SRC2012] 296.248596-14.689797,23.0
10.0,i,*,170279.0,   ,295.969452,-14.694445,17.32,16.4,16.13,M, ,2.4,C   ,C3.2 ,S      ,4.0,1.147,0.424,14.0,PapI,[SRC2012] 295.969452-14.694445,24.0
10.0,i,*,170941.0,   ,296.286774,-14.697333,17.18,16.4,16.17,M,*,0.99,dK  ,dK7  ,K4III  ,704.0,1.11,0.334,24.0,PapI,[LDB2002]  704                ,25.0
10.0,i,*,173114.0,   ,296.33078,-14.707144,15.97,15.27,14.94,M,*,1.13,dM: ,dM0  ,M0V    ,799.0,1.276,0.418,28.0,PapI,[LDB2002]  799                ,26.0
10.0,i,*,176863.0,   ,296.350922,-14.720666,17.05,16.13,15.75,C,*,1.17,C   ,C6.5 ,S      ,827.0,1.518,0.385,14.0,PapI,[LDB2002]  827                ,27.0
10.0,i,*,180514.0,   ,296.375854,-14.73088,16.15,15.33,15.03,M, ,1.3,C   ,C3.2 ,C      ,847.0,1.175,0.41,22.0,PapI,[SRC2012] 296.375854-14.730880,28.0
10.0,i,*,184448.0,   ,296.436554,-14.743853,17.45,16.68,16.56,M,*,1.72,C   ,C5.5 ,C      ,877.0,1.137,0.332,11.0,PapI,[SRC2012] 296.436554-14.743853,29.0
10.0,i,*,186430.0,   ,296.234741,-14.750431,17.23,16.46,16.24,M, ,0.45,Uncl,dK7  ,K0III  ,464.0,1.132,0.329,34.0,PapI,[SRC2012] 296.234741-14.750436,30.0
10.0,i,*,188246.0,4.0,296.485382,-14.756809,16.74,15.93,15.63,M, ,2.09,C:  ,C3.2 ,C      ,893.0,1.106,0.37,20.0,PapI,[SRC2012] 296.485535-14.756814,31.0
10.0,i,*,188974.0,2.0,296.131714,-14.759347,17.37,16.47,16.18,M, ,0.95,Ce  ,C    ,C      ,100.0,1.159,0.352,10.0,PapI,[SRC2012] 296.131653-14.759347,32.0
10.0,i,*,193714.0,   ,296.112915,-14.776258,17.35,16.46,15.92,C,*,1.06,C   ,C5.5 ,C      ,84.0,1.394,0.537,14.0,PapI,[LDB2002]   84                ,33.0
10.0,i,*,197170.0,   ,296.152313,-14.788395,17.14,16.3,15.98,M, ,0.72,Ce  ,C3.2 ,C      ,128.0,1.194,0.372,16.0,PapI,[SRC2012] 296.152283-14.788395,34.0
10.0,i,*,197464.0,   ,296.283356,-14.789384,17.47,16.75,16.45,M, ,0.4,C   ,C5.5 ,K0III  ,693.0,1.3,0.43,12.0,PapI,[SRC2012] 296.283356-14.789384,35.0
10.0,i,*,197590.0,   ,296.319458,-14.789786,16.99,16.07,15.58,C,*,0.69,M:  ,M1III,M0III  ,788.0,1.48,0.609,19.0,PapI,[LDB2002]  788                ,36.0
10.0,i,*,199974.0,   ,296.374786,-14.798067,17.73,16.79,16.55,M, ,1.14,C   ,C3.2 ,C      ,846.0,1.118,0.411,13.0,PapI,[SRC2012] 296.374847-14.798067,37.0
10.0,i,*,200182.0,   ,296.170349,-14.798781,17.4,16.44,15.76,C,*,0.56,Ce  ,C5.5 ,C      ,178.0,1.327,0.491,17.0,PapI,[LDB2002]  178                ,38.0
10.0,i,*,201043.0,   ,296.073059,-14.801702,17.62,16.74,16.46,M, ,1.36,C   ,C3.2 ,C      ,40.0,1.109,0.45,10.0,PapI,[SRC2012] 296.073059-14.801702,39.0
