Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,6.65,-0.11,0.03344,-2.537,3.424,4.143,10.8,0.747,0,21.912,29.735,28.114,26.242,24.508,22.338,20.102,19.528,19.111,0.033
1,6.65,-0.07,0.09038,-1.967,3.489,4.262,10.1,0.71,0,19.788,26.62,24.785,22.902,21.497,19.76,18.108,17.493,17.169,0.09
1,6.65,0.01,0.16868,-1.881,3.516,4.558,12.3,0.769,0,21.772,27.936,26.305,24.529,23.245,21.686,20.168,19.539,19.232,0.169
1,6.65,0.05,0.06002,-2.25,3.461,4.258,10.2,0.717,0,20.595,28.199,26.197,24.229,22.665,20.702,18.84,18.238,17.892,0.06
1,6.65,0.07,0.25481,-2.045,3.549,5.029,11,0.754,0,20.883,26.404,24.887,23.199,22.035,20.708,19.354,18.698,18.414,0.255
1,6.65,0.11,0.04001,-2.48,3.436,4.209,9.8,0.686,0.8,20.1,27.924,26.183,24.283,22.578,20.439,18.277,17.703,17.304,0.04
1,6.65,0.33,0.01743,-2.995,3.355,4.04,8.2,0.498,0,20.457,30.622,28.366,26.217,24.025,21.458,18.488,17.898,17.414,0.017
1,6.71,-0.29,0.14125,-1.696,3.517,4.297,9.1,0.613,0.87,17.464,23.614,21.836,20.006,18.748,17.278,15.836,15.205,14.906,0.141
1,6.71,-0.29,1.07345,0.066,3.789,4.506,9.9,0.694,0,14.506,16.108,15.982,15.248,14.789,14.352,13.784,13.418,13.347,1.073
1,6.71,0.37,0.18766,-2.116,3.521,4.858,10,0.702,0,20.06,26.012,24.421,22.681,21.43,19.918,18.446,17.822,17.524,0.188
1,6.77,-0.09,0.03634,-2.533,3.428,4.188,10.6,0.739,0,21.702,29.593,27.875,25.974,24.249,22.089,19.893,19.315,18.909,0.036
1,6.77,0.29,1.33571,0.429,3.809,4.318,11.2,0.759,0,14.899,16.61,16.366,15.636,15.192,14.785,14.261,13.951,13.878,1.336
1,6.81,0.01,0.09304,-1.968,3.485,4.262,10.5,0.734,0,20.19,27.077,25.274,23.397,21.971,20.195,18.504,17.894,17.564,0.093
1,6.87,0.01,0.20879,-2.206,3.541,5.075,10.2,0.717,0,20.484,26.094,24.552,22.85,21.668,20.3,18.926,18.283,17.997,0.209
1,6.87,0.17,8.48277,3.473,4.345,4.221,10.2,0.717,0,6.288,8.423,9.15,9.161,9.129,9.119,9.213,9.231,9.265,8.483
