#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   7.29  0.45  0.05555 -2.464 3.449  4.391 10.00  0.034 0.00 20.931 27.863 25.930 24.114 22.606 20.692 18.942 18.421 18.113  0.056 
 1   7.37  0.09  0.06305 -2.432 3.456  4.440  6.80  0.015 0.00 17.651 24.348 22.471 20.684 19.221 17.363 15.674 15.153 14.851  0.063 
 1   7.37  0.27  0.18841 -2.154 3.522  4.901  9.30  0.031 0.00 19.455 24.350 22.932 21.389 20.270 18.905 17.644 17.096 16.843  0.188 
 1   7.39  0.37  0.02599 -3.040 3.360  4.278  7.40  0.019 0.00 19.769 29.499 27.061 24.971 22.871 20.411 17.655 17.118 16.690  0.026 
 1   7.53 -0.25  0.38215 -1.639 3.588  4.957 10.40  0.036 0.00 19.268 22.811 21.705 20.369 19.453 18.599 17.627 17.021 16.850  0.382 
 1   7.63  0.07  0.04408 -2.918 3.412  4.593 10.70  0.036 0.80 22.217 30.463 28.389 26.487 24.681 22.431 20.135 19.624 19.258  0.044 
 1   7.65  0.33  0.06279 -2.670 3.447  4.641  8.30  0.025 0.00 19.745 26.711 24.780 22.966 21.447 19.518 17.749 17.230 16.920  0.063 
 1   7.69  0.01  0.05555 -2.810 3.435  4.678 12.30  0.038 0.87 23.475 30.908 28.956 27.123 25.489 23.421 21.443 20.933 20.599  0.056 
 1   7.69  0.05  0.07948 -2.404 3.467  4.556 10.80  0.037 0.00 21.581 27.950 26.171 24.423 23.023 21.250 19.640 19.115 18.817  0.079 
 1   7.69  0.29  0.04395 -3.002 3.406  4.654 10.30  0.035 0.00 22.575 30.789 28.646 26.735 24.944 22.713 20.497 19.990 19.638  0.044 
 1   7.75 -0.17  0.19691 -2.198 3.547  5.065 10.10  0.035 0.00 20.364 24.860 23.444 21.918 20.888 19.753 18.634 18.059 17.819  0.197 
 1   7.77 -0.35  0.06305 -2.770 3.443  4.724  8.80  0.028 0.00 20.494 28.067 25.774 23.839 22.242 20.268 18.507 17.965 17.670  0.063 
 1   7.77 -0.17  0.18842 -2.169 3.541  4.992 11.30  0.037 0.00 21.493 26.100 24.670 23.133 22.083 20.900 19.748 19.175 18.932  0.188 
 1   7.77 -0.09  0.19461 -2.203 3.541  5.040  9.00  0.030 0.00 19.277 23.853 22.451 20.931 19.881 18.679 17.523 16.954 16.713  0.195 
 1   7.77  0.11  0.30860 -1.891 3.557  4.992  6.40  0.013 0.00 15.898 20.080 18.813 17.389 16.389 15.262 14.161 13.581 13.362  0.309 
 1   7.79 -0.07  0.11505 -2.241 3.493  4.658  9.20  0.031 0.00 19.572 25.219 23.591 21.923 20.673 19.116 17.702 17.163 16.887  0.115 
 1   7.81  0.11  0.20805 -2.122 3.507  4.740 14.10  0.038 0.77 23.538 28.478 27.046 25.493 24.370 23.002 21.727 21.178 20.921  0.161 
 1   7.83  0.03  0.05863 -2.868 3.433  4.751 10.80  0.037 0.94 22.049 29.510 27.519 25.675 24.040 21.976 20.019 19.507 19.178  0.059 
 1   7.83  0.11  0.83008 -0.567 3.686  4.612 10.50  0.036 0.82 16.308 18.620 17.813 16.770 16.137 15.628 14.906 14.317 14.241  0.830 
 1   7.83  0.11  0.15411 -2.120 3.502  4.701 11.20  0.037 0.73 20.724 26.249 24.697 23.063 21.825 20.271 18.854 18.320 18.044  0.154 
 1   7.87 -0.09  0.60451 -1.103 3.626  4.775  9.50  0.032 0.00 17.028 20.058 19.022 17.811 17.022 16.375 15.506 14.817 14.708  0.605 
 1   7.87  0.05  0.08025 -2.581 3.462  4.719 10.10  0.035 0.89 20.756 27.419 25.559 23.775 22.320 20.473 18.789 18.266 17.963  0.080 
 1   7.93 -0.23  0.05495 -3.013 3.418  4.807 10.40  0.036 0.00 22.704 30.716 28.533 26.620 24.890 22.730 20.647 20.133 19.798  0.055 
 1   7.95  0.35  0.08620 -2.654 3.458  4.807  9.60  0.033 0.93 20.311 27.044 25.162 23.368 21.900 20.036 18.338 17.815 17.512  0.086 
 1   7.97 -0.11  0.07672 -2.767 3.457  4.866 10.80  0.037 0.00 22.488 29.360 27.351 25.516 24.041 22.190 20.529 19.995 19.699  0.077 
 1   7.97 -0.01  0.28743 -1.937 3.559  5.015  8.40  0.026 0.00 18.013 22.174 20.908 19.480 18.484 17.378 16.287 15.707 15.489  0.287 
 1   7.99  0.03  0.15937 -2.300 3.510  4.927  9.60  0.033 0.00 20.119 25.282 23.807 22.224 21.055 19.609 18.283 17.743 17.480  0.159 
 1   8.01  0.11  0.08254 -2.765 3.456  4.891 11.60  0.038 0.00 23.282 30.003 28.124 26.332 24.866 23.007 21.313 20.790 20.486  0.083 
 1   8.05 -0.35  0.09964 -2.608 3.492  4.960 11.10  0.037 0.81 21.825 28.003 26.072 24.268 22.970 21.381 19.958 19.392 19.118  0.100 
 1   8.07  0.13  0.12497 -2.480 3.486  4.906  9.30  0.031 0.98 19.531 25.319 23.695 22.024 20.735 19.110 17.637 17.107 16.824  0.125 
 1   8.07  0.33  0.05990 -3.082 3.417  4.910  9.50  0.032 0.00 21.974 30.203 27.882 25.926 24.173 21.999 19.912 19.394 19.065  0.060 
 1   8.09 -0.39  0.07948 -2.794 3.471  4.961 10.70  0.036 0.76 22.013 29.115 26.925 25.023 23.564 21.742 20.055 19.506 19.210  0.079 
 1   8.09 -0.01  0.22589 -2.139 3.546  5.062 11.60  0.038 0.00 21.717 26.180 24.825 23.334 22.300 21.113 19.972 19.400 19.162  0.226 
 1   8.09  0.09  0.13362 -2.431 3.492  4.910 11.30  0.037 0.00 22.147 27.758 26.181 24.533 23.278 21.704 20.272 19.740 19.461  0.134 
 1   8.13 -0.03  0.24308 -2.071 3.551  5.047 10.50  0.036 0.00 20.447 24.806 23.472 21.996 20.978 19.832 18.715 18.139 17.906  0.243 
 1   8.13  0.39  0.19691 -2.263 3.528  5.055  9.60  0.033 0.77 19.370 24.411 22.959 21.393 20.250 18.846 17.544 16.999 16.739  0.197 
 1   8.15 -0.17  2.15813  1.426 4.000  4.293 10.90  0.037 0.00 12.105 12.308 12.388 12.391 12.397 12.409 12.438 12.447 12.452  2.158 
 1   8.15  0.11  0.16820 -2.309 3.513  4.970  9.70  0.033 0.00 20.243 25.350 23.887 22.313 21.154 19.725 18.413 17.871 17.610  0.168 
 1   8.17 -0.03  0.06766 -3.029 3.426  4.948  8.00  0.023 0.86 19.751 27.919 25.622 23.670 21.931 19.766 17.685 17.166 16.839  0.068 
 1   8.17 -0.03  0.47798 -1.437 3.593  4.874 10.40  0.036 0.00 18.763 22.249 21.160 19.866 18.965 18.102 17.126 16.485 16.335  0.478 
 1   8.25 -0.01  0.24482 -2.068 3.551  5.043 12.00  0.038 0.92 21.273 25.687 24.344 22.862 21.835 20.664 19.533 18.959 18.723  0.245 
 1   8.27  0.19  0.11415 -2.573 3.476  4.921 11.40  0.037 0.00 22.604 28.659 26.969 25.261 23.920 22.224 20.689 20.162 19.870  0.114 
 1   8.27  0.47  0.16570 -2.329 3.507  4.960  9.70  0.033 0.83 19.662 25.074 23.546 21.928 20.711 19.190 17.800 17.265 16.993  0.166 
 1   8.29 -0.01  0.15322 -2.347 3.507  4.944 11.20  0.037 0.00 21.837 27.086 25.589 23.990 22.806 21.339 19.996 19.456 19.190  0.153 
 1   8.31  0.33  0.05495 -3.335 3.374  4.955  9.60  0.033 0.00 22.707 33.245 29.982 27.733 25.600 23.159 20.599 20.038 19.688  0.055 
 1   8.33 -0.15  0.28716 -1.914 3.567  5.023 10.30  0.035 0.97 19.135 23.159 21.911 20.490 19.511 18.489 17.434 16.852 16.644  0.287 
 1   8.33  0.11  0.05311 -3.392 3.363  4.953  9.20  0.031 0.00 22.450 33.610 30.077 27.714 25.495 23.020 20.345 19.765 19.398  0.053 
 1   8.35 -0.09  0.08620 -2.811 3.460  4.973  8.40  0.026 0.00 20.198 26.912 24.964 23.154 21.705 19.882 18.243 17.711 17.417  0.086 
 1   8.35  0.13  0.19863 -2.254 3.533  5.067 10.30  0.035 0.00 20.704 25.420 24.021 22.495 21.414 20.128 18.923 18.364 18.119  0.199 
 1   8.35  0.27  0.20360 -2.244 3.531  5.063 11.50  0.038 0.00 21.881 26.626 25.222 23.693 22.607 21.310 20.096 19.539 19.292  0.204 
 1   8.35  0.45  0.07672 -2.968 3.432  4.966  9.40  0.032 0.00 21.590 29.225 27.073 25.176 23.538 21.481 19.561 19.041 18.724  0.077 
 1   8.37 -0.13  0.26544 -1.982 3.562  5.037 11.80  0.038 0.00 21.525 25.658 24.376 22.934 21.943 20.888 19.816 19.235 19.019  0.265 
 1   8.37  0.11  0.05822 -3.332 3.377  4.990  9.80  0.034 0.00 22.899 33.336 30.090 27.853 25.740 23.313 20.792 20.233 19.889  0.058 
 1   8.39 -0.03  0.24336 -2.070 3.552  5.046 11.00  0.037 0.00 20.944 25.303 23.969 22.493 21.475 20.329 19.212 18.636 18.403  0.243 
 1   8.39  0.03  0.30549 -1.890 3.560  4.999  9.20  0.031 0.00 18.694 22.829 21.578 20.161 19.167 18.061 16.969 16.387 16.172  0.305 
 1   8.39  0.39  0.08041 -2.900 3.439  4.945 11.90  0.038 0.00 23.920 31.278 29.216 27.351 25.764 23.763 21.908 21.387 21.073  0.080 
 1   8.41  0.01  0.46147 -1.482 3.588  4.882 10.10  0.035 0.96 17.872 21.488 20.382 19.076 18.150 17.213 16.203 15.582 15.419  0.461 
 1   8.41  0.03  0.22436 -2.149 3.544  5.060 10.70  0.036 0.00 20.843 25.346 23.988 22.492 21.450 20.243 19.091 18.521 18.282  0.224 
