,index,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog,index,_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),IRAC1(mag),dIRAC1(mag),IRAC2(mag),dIRAC2(mag),l_IRAC3( ),IRAC3(mag),dIRAC3(mag),l_IRAC4( ),IRAC4(mag),dIRAC4(mag),l_MIPS24( ),MIPS24(mag)
0,210,,296.0429167,-14.78219444,17.033,,,,15.322,,C,0.188094281,demmers,190,296.04299889,-14.7822,296.042999,-14.7822,15.04,0.07,14.95,-0.06, ,14.85,-0.08, ,14.33,-0.45,>,12.37
1,212,,296.0512083,-14.72680556,17.588,,,,15.526,,C,0.193832805,demmers,401,296.0513,-14.72687,296.0513,-14.72687,14.9,0.05,15.03,0.01, ,15.09,-0.26, ,14.64,0.0,>,12.31
2,213,,296.0512917,-14.86669444,17.677,,,,15.785,,C,0.19017054,demmers,405,296.05136111,-14.86675,296.051361,-14.86675,15.45,0.03,15.77,-0.02, ,15.34,0.09, ,14.94,0.18, ,11.63
3,215,,296.0642083,-14.73602778,17.69,,,,15.998,,C,0.178313737,demmers,902,296.06420889,-14.73609,296.064209,-14.73609,15.6,-0.04,15.71,0.03, ,15.4,-0.25, ,15.12,-0.17,>,12.3
4,192,,296.066071,-14.844581,17.44,,16.78,,16.3,,C ,0.169452268,Sibbons,973,296.06619306,-14.84463,296.066193,-14.84463,15.77,0.02,15.98,0.2, ,15.41,-0.09, ,14.93,-0.85,>,11.85
5,216,,296.0672917,-14.90311111,18.114,,,,16.186,,C,0.191740162,demmers,1041,296.06738306,-14.9031,296.067383,-14.9031,15.64,0.03,15.65,-0.07, ,16.31,0.86, ,15.76,0.22,>,12.55
6,217,,296.0719583,-14.84902778,17.452,,,,15.915,,C,0.164984661,demmers,1264,296.07205194,-14.84899,296.072052,-14.84899,15.68,-0.03,15.82,0.0, ,15.66,-0.54, ,15.31,0.16,>,12.23
7,218,,296.0726667,-14.85652778,17.853,,,,16.275,,C,0.166622757,demmers,1300,296.07272306,-14.85657,296.072723,-14.85657,16.15,0.02,16.13,-0.06, ,16.3,0.0, ,15.56,-0.12,>,11.88
8,126,,296.073059,-14.801702,17.62,,16.74,,16.46,,C,0.156941003,Sibbons,1315,296.07312,-14.80167,296.07312,-14.80167,15.87,0.0,15.98,0.08, ,15.71,-0.04, ,15.07,-0.09,>,12.01
9,219,,296.076875,-14.878,17.83,,,,16.111,,C,0.171095104,demmers,1507,296.076965,-14.878,296.076965,-14.878,15.62,-0.02,15.61,-0.01, ,15.73,0.2, ,15.56,0.28,>,12.01
