Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
1,10870,296.18,-14.82,17.52,0.04,16.53,0.04,16.19,0.05,S
2,10784,296.22,-14.83,17.45,0.03,16.53,0.04,16.20,0.06,S
3,11004,296.27,-14.81,17.60,0.03,16.62,0.03,16.27,0.05,S
4,11029,296.28,-14.80,17.46,0.03,16.55,0.02,16.22,0.05,S
5,12050,296.25,-14.82,18.17,0.07,17.25,0.10,16.70,0.05,S
6,30528,296.19,-14.89,17.76,0.06,16.85,0.04,16.51,0.10,S
7,10326,296.26,-14.83,16.82,0.03,15.86,0.03,15.52,0.02,S
8,10293,296.30,-14.84,17.87,0.88,16.35,0.72,14.98,0.07,LAV
9,10310,296.19,-14.83,18.32,0.31,16.80,0.19,15.67,0.10,LAV
10,10371,296.28,-14.81,17.33,0.16,15.94,0.12,15.04,0.07,LAV
11,10501,296.23,-14.77,18.00,0.37,16.56,0.32,15.48,0.27,LAV
12,10968,296.20,-14.81,19.18,0.60,17.30,0.30,15.91,0.20,LAV
13,11391,296.18,-14.76,18.39,0.32,16.94,0.18,15.82,0.14,LAV
14,11401,296.27,-14.76,18.09,0.24,16.73,0.17,15.62,0.07,LAV
15,11403,296.23,-14.76,18.35,0.34,17.01,0.15,16.18,0.09,LAV
16,11991,296.28,-14.82,18.46,0.18,17.17,0.22,16.13,0.20,LAV
17,12070,296.25,-14.82,17.49,0.09,16.92,0.21,15.98,0.27,LAV
18,12660,296.25,-14.77,18.38,0.35,16.83,0.30,15.54,0.27,LAV
19,12711,296.25,-14.76,18.94,1.05,17.79,0.92,16.80,0.63,LAV
20,13390,296.24,-14.82,19.99,0.74,18.40,0.44,16.77,0.21,LAV
21,14105,296.18,-14.76,19.23,0.39,17.44,0.33,15.98,0.26,LAV
22,20438,296.27,-14.73,19.39,0.38,17.70,0.27,16.08,0.21,LAV
23,20608,296.18,-14.68,19.57,1.40,17.64,0.95,16.06,0.67,LAV
24,20614,296.27,-14.68,19.60,1.62,17.60,0.76,16.30,0.53,LAV
25,21316,296.18,-14.64,18.63,0.79,17.47,0.64,16.42,0.45,LAV
26,30767,296.27,-14.96,18.07,0.40,17.09,0.30,16.45,0.20,LAV
27,30924,296.21,-14.91,19.46,0.36,17.55,0.20,16.25,0.13,LAV
28,30961,296.30,-14.90,19.75,0.26,17.75,0.18,15.96,0.44,LAV
29,40030,296.18,-14.75,17.02,0.16,16.27,0.20,15.81,0.12,LAV
30,40275,296.23,-14.75,17.13,0.34,15.92,0.29,15.11,0.28,LAV
31,40327,296.23,-14.75,17.71,0.18,16.93,0.23,16.52,0.18,LAV
32,40419,296.25,-14.87,17.98,0.08,16.67,0.06,15.79,0.08,LAV
33,40493,296.26,-14.74,18.29,0.15,16.78,0.16,15.38,0.19,LAV
34,40538,296.27,-14.75,17.31,0.16,16.57,0.17,15.96,0.20,LAV
35,12557,296.18,-14.78,18.23,,17.51,,17.12,,O
36,11226,296.25,-14.78,17.49,,16.54,,16.08,,O
37,20331,296.20,-14.63,16.58,,15.91,,15.46,,O
38,10184,296.22,-14.77,16.44,,15.58,,15.13,,O
39,30133,296.22,-14.88,16.30,,15.53,,15.09,,O
40,20134,296.21,-14.68,16.35,,15.55,,15.07,,O
41,40139,296.20,-14.74,15.25,,14.32,,13.92,,O
42,10198,296.25,-14.77,15.50,,14.68,,14.19,,O
43,30292,296.19,-14.87,15.88,,15.19,,14.68,,O
44,10091,296.27,-14.76,15.46,,14.67,,14.18,,O
45,20004,296.21,-14.73,13.72,,12.97,,12.57,,O
46,10817,296.24,-14.83,17.70,,16.76,,16.04,,LPV
47,12751,296.21,-14.76,17.89,,16.91,,16.29,,LPV
48,11032,296.18,-14.80,18.20,,16.91,,15.94,,LPV
49,10748,296.17,-14.84,18.58,,17.16,,16.11,,LPV
50,12208,296.23,-14.81,17.87,,16.61,,15.62,,LPV
51,21419,296.28,-14.75,19.93,,18.27,,16.57,,LPV
52,13364,296.19,-14.82,18.10,,16.85,,15.86,,LPV
53,20239,296.23,-14.73,18.04,,16.71,,15.66,,LPV
54,20558,296.20,-14.70,18.21,,16.60,,15.31,,LPV
55,20840,296.30,-14.74,18.70,,17.18,,15.98,,LPV
56,12466,296.17,-14.79,18.42,,17.09,,16.03,,LPV
57,40114,296.20,-14.86,20.21,,18.61,,16.99,,LPV
58,11059,296.21,-14.80,18.38,,16.90,,15.79,,LPV
59,11296,296.22,-14.78,18.37,,16.99,,15.78,,LPV
60,30928,296.22,-14.91,18.95,,17.42,,16.28,,LPV
61,13106,296.24,-14.85,19.10,,17.38,,15.96,,LPV
62,11305,296.18,-14.78,18.02,,16.56,,15.45,,LPV
63,30920,296.24,-14.91,18.95,,17.21,,15.86,,LPV
64,11140,296.23,-14.79,18.75,,17.25,,15.93,,LPV
65,20439,296.25,-14.73,19.15,,17.32,,15.77,,LPV
66,10753,296.24,-14.84,18.40,,17.06,,15.88,,LPV
67,40520,296.27,-14.74,18.41,,16.86,,15.51,,LPV
68,31168,296.24,-14.87,19.49,,17.50,,15.82,,LPV
69,21671,296.27,-14.72,19.78,,17.78,,16.16,,LPV
70,11174,296.22,-14.79,19.12,,17.42,,15.90,,LPV
71,20569,296.29,-14.70,19.24,,17.62,,16.03,,LPV
72,12445,296.22,-14.79,20.26,,18.34,,16.43,,LPV
73,21141,296.30,-14.70,18.16,,16.62,,15.42,,LPV
74,21234,296.28,-14.67,20.16,,18.21,,16.25,,LPV
75,12147,296.29,-14.81,19.93,,17.89,,16.24,,LPV
76,11299,296.26,-14.78,19.06,,17.30,,15.73,,LPV
77,13293,296.26,-14.83,20.30,,18.37,,16.42,,LPV
78,21029,296.20,-14.72,19.11,,17.07,,15.55,,LPV
79,40102,296.20,-14.75,19.69,,17.43,,15.69,,LPV
